pk,season,type,startDate,endDate,status,teamAwayID,teamHomeID
2019020067,20192020,R,2019-10-12T23:00:00Z,2019-10-13T01:49:03Z,Final,13,2
2019020068,20192020,R,2019-10-12T23:00:00Z,2019-10-13T01:43:04Z,Final,29,12
2019020069,20192020,R,2019-10-12T23:00:00Z,2019-10-13T01:40:22Z,Final,52,16
2019020070,20192020,R,2019-10-13T00:00:00Z,2019-10-13T02:47:17Z,Final,15,25
2019020071,20192020,R,2019-10-13T00:30:00Z,2019-10-13T03:30:14Z,Final,5,30
2019020072,20192020,R,2019-10-13T01:00:00Z,2019-10-13T03:49:45Z,Final,53,21
2019020073,20192020,R,2019-10-13T02:00:00Z,2019-10-13T04:48:48Z,Final,4,23
2019020074,20192020,R,2019-10-13T02:00:00Z,2019-10-13T04:35:18Z,Final,20,54
2019020075,20192020,R,2019-10-13T23:00:00Z,2019-10-14T01:41:43Z,Final,5,52
2019020076,20192020,R,2019-10-14T02:00:00Z,2019-10-14T04:35:06Z,Final,54,26
2019020077,20192020,R,2019-10-14T02:00:00Z,2019-10-14T04:37:52Z,Final,20,28
2019020078,20192020,R,2019-10-14T17:00:00Z,2019-10-14T19:50:25Z,Final,24,6
2019020079,20192020,R,2019-10-14T17:00:00Z,2019-10-14T19:43:22Z,Final,30,9
2019020080,20192020,R,2019-10-14T17:00:00Z,2019-10-14T19:30:41Z,Final,13,1
2019020081,20192020,R,2019-10-14T17:00:00Z,2019-10-14T19:42:04Z,Final,19,2
2019020082,20192020,R,2019-10-14T19:00:00Z,2019-10-14T21:27:03Z,Final,25,7
2019020083,20192020,R,2019-10-14T21:00:00Z,2019-10-14T23:46:56Z,Final,21,15
2019020084,20192020,R,2019-10-15T00:30:00Z,2019-10-15T03:04:30Z,Final,22,16
2019020085,20192020,R,2019-10-15T23:00:00Z,2019-10-16T01:32:58Z,Final,30,10
2019020086,20192020,R,2019-10-15T23:00:00Z,2019-10-16T01:39:44Z,Final,14,8
2019020087,20192020,R,2019-10-16T00:00:00Z,2019-10-16T02:32:35Z,Final,53,52
2019020088,20192020,R,2019-10-16T01:00:00Z,2019-10-16T03:40:04Z,Final,4,20
2019020089,20192020,R,2019-10-16T02:00:00Z,2019-10-16T05:46:34Z,Final,17,23
2019020090,20192020,R,2019-10-16T02:00:00Z,2019-10-16T04:38:33Z,Final,18,54
2019020091,20192020,R,2019-10-16T02:30:00Z,2019-10-16T05:09:31Z,Final,12,26
2019020092,20192020,R,2019-10-16T23:00:00Z,2019-10-17T01:56:06Z,Final,21,5
2019020093,20192020,R,2019-10-16T23:00:00Z,2019-10-17T01:37:42Z,Final,10,15
2019020094,20192020,R,2019-10-16T23:00:00Z,2019-10-17T01:37:28Z,Final,25,29
2019020095,20192020,R,2019-10-17T01:30:00Z,2019-10-17T04:19:34Z,Final,4,22
2019020096,20192020,R,2019-10-17T02:00:00Z,2019-10-17T05:09:28Z,Final,7,24
2019020097,20192020,R,2019-10-17T02:30:00Z,2019-10-17T05:09:19Z,Final,12,28
2019020098,20192020,R,2019-10-17T23:00:00Z,2019-10-18T02:03:11Z,Final,14,6
2019020099,20192020,R,2019-10-17T23:00:00Z,2019-10-18T01:37:40Z,Final,30,8
2019020100,20192020,R,2019-10-17T23:00:00Z,2019-10-18T02:30:58Z,Final,3,1
2019020101,20192020,R,2019-10-18T00:00:00Z,2019-10-18T02:51:21Z,Final,23,19
2019020102,20192020,R,2019-10-18T00:00:00Z,2019-10-18T02:36:01Z,Final,2,52
2019020103,20192020,R,2019-10-18T01:00:00Z,2019-10-18T03:30:26Z,Final,17,20
2019020104,20192020,R,2019-10-18T02:00:00Z,2019-10-18T04:39:31Z,Final,18,53
2019020105,20192020,R,2019-10-18T02:00:00Z,2019-10-18T05:01:27Z,Final,9,54
2019020106,20192020,R,2019-10-18T02:30:00Z,2019-10-18T05:03:31Z,Final,7,26
2019020107,20192020,R,2019-10-18T23:00:00Z,2019-10-19T01:39:25Z,Final,21,13
2019020108,20192020,R,2019-10-18T23:00:00Z,2019-10-19T01:32:01Z,Final,25,5
2019020109,20192020,R,2019-10-18T23:00:00Z,2019-10-19T01:37:14Z,Final,3,15
2019020110,20192020,R,2019-10-19T00:30:00Z,2019-10-19T03:02:02Z,Final,29,16
2019020111,20192020,R,2019-10-19T01:00:00Z,2019-10-19T03:27:37Z,Final,17,22
2019020112,20192020,R,2019-10-19T02:00:00Z,2019-10-19T04:54:28Z,Final,12,24
2019020113,20192020,R,2019-10-19T17:00:00Z,2019-10-19T19:56:39Z,Final,23,1
2019020114,20192020,R,2019-10-19T19:00:00Z,2019-10-19T21:31:22Z,Final,8,19
2019020115,20192020,R,2019-10-19T23:00:00Z,2019-10-20T01:47:25Z,Final,6,10
2019020116,20192020,R,2019-10-19T23:00:00Z,2019-10-20T01:43:41Z,Final,21,14
2019020117,20192020,R,2019-10-19T23:00:00Z,2019-10-20T01:36:23Z,Final,25,4
2019020118,20192020,R,2019-10-19T23:00:00Z,2019-10-20T01:37:56Z,Final,54,5
2019020119,20192020,R,2019-10-19T23:00:00Z,2019-10-20T01:36:52Z,Final,2,29
2019020120,20192020,R,2019-10-19T23:00:00Z,2019-10-20T01:47:50Z,Final,9,53
2019020121,20192020,R,2019-10-20T00:00:00Z,2019-10-20T02:41:52Z,Final,13,18
2019020122,20192020,R,2019-10-20T02:00:00Z,2019-10-20T04:42:40Z,Final,20,26
2019020123,20192020,R,2019-10-20T02:30:00Z,2019-10-20T05:05:22Z,Final,7,28
2019020124,20192020,R,2019-10-20T17:00:00Z,2019-10-20T19:25:33Z,Final,23,3
2019020125,20192020,R,2019-10-20T21:00:00Z,2019-10-20T23:39:58Z,Final,8,30
2019020126,20192020,R,2019-10-20T23:00:00Z,2019-10-21T01:41:33Z,Final,15,16
2019020127,20192020,R,2019-10-20T23:00:00Z,2019-10-21T01:41:29Z,Final,22,52
2019020128,20192020,R,2019-10-21T01:00:00Z,2019-10-21T03:30:35Z,Final,20,24
2019020129,20192020,R,2019-10-21T23:00:00Z,2019-10-22T01:50:54Z,Final,29,10
2019020130,20192020,R,2019-10-21T23:00:00Z,2019-10-22T01:29:40Z,Final,54,4
2019020131,20192020,R,2019-10-22T00:00:00Z,2019-10-22T02:40:16Z,Final,21,19
2019020132,20192020,R,2019-10-22T00:30:00Z,2019-10-22T03:06:42Z,Final,9,25
2019020133,20192020,R,2019-10-22T23:00:00Z,2019-10-23T01:52:34Z,Final,10,6
2019020134,20192020,R,2019-10-22T23:00:00Z,2019-10-23T01:40:26Z,Final,28,7
2019020135,20192020,R,2019-10-22T23:00:00Z,2019-10-23T01:24:13Z,Final,5,13
2019020136,20192020,R,2019-10-22T23:00:00Z,2019-10-23T01:32:59Z,Final,53,3
2019020137,20192020,R,2019-10-22T23:30:00Z,2019-10-23T02:06:39Z,Final,23,17
2019020138,20192020,R,2019-10-23T00:00:00Z,2019-10-23T02:37:06Z,Final,24,18
2019020139,20192020,R,2019-10-23T00:00:00Z,2019-10-23T02:34:55Z,Final,22,30
2019020140,20192020,R,2019-10-23T00:00:00Z,2019-10-23T02:41:48Z,Final,26,52
2019020141,20192020,R,2019-10-23T00:30:00Z,2019-10-23T03:18:07Z,Final,54,16
2019020142,20192020,R,2019-10-23T01:00:00Z,2019-10-23T03:32:02Z,Final,15,20
2019020143,20192020,R,2019-10-23T23:30:00Z,2019-10-24T02:21:33Z,Final,17,9
2019020144,20192020,R,2019-10-24T00:00:00Z,2019-10-24T02:55:36Z,Final,5,14
2019020145,20192020,R,2019-10-24T23:00:00Z,2019-10-25T01:44:51Z,Final,28,8
2019020146,20192020,R,2019-10-24T23:00:00Z,2019-10-25T01:34:55Z,Final,53,2
2019020147,20192020,R,2019-10-24T23:00:00Z,2019-10-25T01:26:31Z,Final,7,3
2019020148,20192020,R,2019-10-24T23:00:00Z,2019-10-25T01:34:45Z,Final,12,29
2019020149,20192020,R,2019-10-25T00:00:00Z,2019-10-25T02:32:40Z,Final,26,19
2019020150,20192020,R,2019-10-25T00:00:00Z,2019-10-25T02:29:41Z,Final,30,18
2019020151,20192020,R,2019-10-25T00:30:00Z,2019-10-25T03:02:35Z,Final,4,16
2019020152,20192020,R,2019-10-25T00:30:00Z,2019-10-25T03:08:44Z,Final,24,25
2019020153,20192020,R,2019-10-25T01:00:00Z,2019-10-25T03:46:43Z,Final,13,20
2019020154,20192020,R,2019-10-25T01:00:00Z,2019-10-25T03:52:19Z,Final,15,22
2019020155,20192020,R,2019-10-25T22:00:00Z,2019-10-26T00:26:36Z,Final,21,54
2019020156,20192020,R,2019-10-25T23:00:00Z,2019-10-26T01:53:49Z,Final,28,10
2019020157,20192020,R,2019-10-25T23:00:00Z,2019-10-26T01:37:42Z,Final,53,1
2019020158,20192020,R,2019-10-25T23:30:00Z,2019-10-26T02:17:37Z,Final,2,9
2019020159,20192020,R,2019-10-25T23:30:00Z,2019-10-26T02:05:54Z,Final,7,17
2019020160,20192020,R,2019-10-26T02:00:00Z,2019-10-26T04:48:14Z,Final,15,23
2019020161,20192020,R,2019-10-26T17:00:00Z,2019-10-26T19:24:33Z,Final,16,12
2019020162,20192020,R,2019-10-26T23:00:00Z,2019-10-27T01:40:36Z,Final,19,6
2019020163,20192020,R,2019-10-26T23:00:00Z,2019-10-27T01:44:09Z,Final,10,8
2019020164,20192020,R,2019-10-26T23:00:00Z,2019-10-27T01:44:05Z,Final,18,14
2019020165,20192020,R,2019-10-26T23:00:00Z,2019-10-27T01:37:53Z,Final,29,4
2019020166,20192020,R,2019-10-27T00:00:00Z,2019-10-27T02:40:30Z,Final,5,25
2019020167,20192020,R,2019-10-27T00:00:00Z,2019-10-27T02:29:31Z,Final,26,30
2019020168,20192020,R,2019-10-27T02:00:00Z,2019-10-27T04:01:39Z,Final,20,52
2019020169,20192020,R,2019-10-27T01:00:00Z,2019-10-27T03:48:23Z,Final,24,21
2019020170,20192020,R,2019-10-27T20:00:00Z,2019-10-27T22:32:13Z,Final,13,22
2019020171,20192020,R,2019-10-27T21:00:00Z,2019-10-27T23:31:34Z,Final,19,17
2019020172,20192020,R,2019-10-27T23:00:00Z,2019-10-28T01:38:15Z,Final,28,9
2019020173,20192020,R,2019-10-27T23:00:00Z,2019-10-28T01:35:01Z,Final,4,2
2019020174,20192020,R,2019-10-27T23:00:00Z,2019-10-28T01:45:57Z,Final,6,3
