,Player,Goals_21,ixG_21
819,Bokondji Imama,1,0.35
820,Cooper Marody,0,0.16
821,Jacob Larsson,0,0.12
822,Lukas Vejdemo,1,0.93
823,Christian Wolanin,0,0.13
824,Markus Nutivaara,0,0.0
825,Ethan Prow,1,0.2
826,Lucas Johansen,0,0.03
827,Libor Hajek,0,0.32
828,Markus Niemelainen,0,0.24
829,Beck Malenstyn,1,0.98
830,Riley Tufte,1,0.59
831,Kasper Bjorkqvist,1,0.89
832,Garrett Pilon,1,0.12
833,Fredrik Karlstrom,0,0.12
834,Linus Hogberg,0,0.07
835,Mathieu Olivier,0,0.47
836,Cody Glass,0,0.62
837,Reilly Walsh,0,0.01
838,Lias Andersson,1,3.16
839,Jayden Halbgewachs,0,0.48
840,Grant Hutton,1,1.22
841,Sean Walker,0,0.61
842,Alec Regula,1,0.57
843,Gabriel Fortier,1,1.19
844,Jacob Bernard-Docker,0,0.21
845,Jordan Harris,1,0.37
846,Juuso Riikola,0,0.16
847,Josiah Slavin,0,1.39
848,John Leonard,1,1.18
849,Rafael Harvey-Pinard,1,0.53
850,Jake Christiansen,1,0.32
851,Mattias Norlinder,0,0.1
852,Nicholas Robertson,1,0.62
853,Valtteri Puustinen,0,0.14
854,Nicholas Abruzzese,1,1.1
855,Connor Mackey,0,0.3
856,Jack Quinn,0,0.14
857,Lukas Reichel,0,0.86
858,Alexander Holtz,0,0.8
859,Hendrix Lapierre,1,0.57
860,Daniil Miromanov,0,0.67
861,Alex Steeves,0,0.26
862,Jackson Cates,1,0.59
863,Kent Johnson,0,0.82
864,William Eklund,0,0.89
865,Jesper Froden,1,0.77
866,Ben Meyers,1,0.96
867,Alex Biega,0,0.03
868,Leo Komarov,0,0.0
869,Thomas Hickey,0,0.0
870,Zac Dalpe,0,0.0
871,Luke Witkowski,0,0.0
872,John Moore,0,0.23
873,Richard Panik,0,0.52
874,Andrew Agozzino,0,0.03
875,Chris Wagner,0,0.17
876,Alex Belzile,0,0.8
877,Max McCormick,0,0.68
878,Fredrik Claesson,0,0.08
879,T.J. Tynan,0,0.04
880,Steven Fogarty,0,0.14
881,Kyle Rau,0,0.06
882,Rocco Grimaldi,0,0.86
883,Sven Baertschi,0,0.03
884,Stefan Noesen,0,0.65
885,Seth Griffith,0,0.0
886,Turner Elson,0,0.02
887,Kurtis Gabriel,0,0.0
888,Stefan Matteau,0,0.0
889,Martin Frk,0,0.57
890,Paul LaDue,0,0.0
891,Riley Barber,0,0.1
892,Tyler Lewington,0,0.06
893,Hudson Fasching,0,0.61
894,Mason Geertsen,0,0.99
895,Miles Wood,0,0.29
896,Remi Elie,0,0.16
897,Dillon Heatherington,0,0.03
898,Justin Bailey,0,0.56
899,Madison Bowey,0,0.01
900,Frederik Gauthier,0,0.18
901,Dakota Mermis,0,0.01
902,Brandon Baddock,0,0.0
903,Michael Dal Colle,0,0.13
904,Ryan MacInnis,0,0.08
905,Chase DeLeo,0,0.32
906,Austin Poganski,0,1.31
907,CJ Suess,0,0.06
908,Anthony Angello,0,0.08
909,Darren Raddysh,0,0.05
910,Vladimir Tkachev,0,0.03
911,Brendan Guhle,0,0.45
912,Glenn Gawdin,0,0.09
913,Guillaume Brisebois,0,0.0
914,Blake Speers,0,0.05
915,Zach Senyshyn,0,0.01
916,Chase Pearson,0,0.73
917,Kevin Stenlund,0,0.18
918,Christian Jaros,0,0.62
919,Brett Seney,0,0.17
920,Kole Sherwood,0,0.07
921,Andrew Poturalski,0,0.27
922,Dan Renouf,0,0.11
923,Joey Anderson,0,0.67
924,Maxime Lajoie,0,0.4
925,Wade Allison,0,0.17
926,Olli Juolevi,0,0.4
927,Tim Gettinger,0,0.3
928,William Lockwood,0,1.45
929,Max Jones,0,0.11
930,Connor Bunnaman,0,1.29
931,Sean Day,0,0.03
932,Jacob MacDonald,0,1.33
933,Anthony Greco,0,0.63
934,Tanner Laczynski,0,0.0
935,Mikhail Maltsev,0,1.44
936,Rhett Gardner,0,0.03
937,Michael Eyssimont,0,0.03
938,Chase Priskie,0,0.23
939,Kristians Rubins,0,0.37
940,Mason Shaw,0,0.37
941,Conor Timmins,0,0.26
942,Cale Fleury,0,0.28
943,Jaret Anderson-Dolan,0,0.62
944,Aleksi Heponiemi,0,0.56
945,Dmitri Samorukov,0,0.0
946,Jack Rathbone,0,0.49
947,Pierre-Olivier Joseph,0,0.29
948,Ian Mitchell,0,0.12
949,C.J. Smith,0,0.08
950,Mike Vecchione,0,0.58
951,Johnathan Kovacevic,0,0.19
952,Jakub Galvas,0,0.46
953,Ben Jones,0,0.05
954,Wyatt Kalynuk,0,0.18
955,Alexander True,0,0.32
956,Joey Keane,0,0.05
957,Sheldon Rempal,0,0.13
958,Nicolas Beaudin,0,0.09
959,Martin Kaut,0,0.04
960,Alexander Alexeyev,0,0.0
961,Filip Hallander,0,0.0
962,Grigori Denisenko,0,0.28
963,Sampo Ranta,0,0.64
964,Ty Dellandrea,0,0.04
965,Liam Foudy,0,0.07
966,Cameron Hillis,0,0.03
967,Jordan Gross,0,0.0
968,Declan Chisholm,0,0.07
969,Hunter Drew,0,0.0
970,David Gustafsson,0,0.0
971,Egor Sokolov,0,0.67
972,Cole Reinhardt,0,0.05
973,Brayden Pachal,0,0.06
974,Egor Zamula,0,0.19
975,Samuel Fagemo,0,0.71
976,Jon Lizotte,0,0.03
977,Kaedan Korczak,0,0.01
978,Brayden Tracey,0,0.11
979,Alex Turcotte,0,1.15
980,Adam Beckman,0,0.08
981,Artemi Kniazev,0,0.1
982,Shane Pinto,0,0.92
983,Victor Soderstrom,0,0.51
984,Pavel Dorofeyev,0,0.24
985,Cole Schwindt,0,0.37
986,Viktor Lodin,0,0.12
987,Tyce Thompson,0,0.23
988,Bryce Kindopp,0,0.09
989,Ben McCartney,0,0.18
990,Zachary Hayes,0,0.03
991,Brandon Biro,0,0.04
992,Cole Smith,0,0.3
993,Mitchell Chaffee,0,0.16
994,Jack Ahcan,0,0.11
995,Marco Rossi,0,0.25
996,Jacob Perreault,0,0.17
997,JJ Peterka,0,0.23
998,Isaak Phillips,0,0.1
999,Adam Raska,0,0.59
1000,Linus Sandin,0,0.01
1001,Jeff Malott,0,0.0
1002,Walker Duehr,0,0.0
1003,Kirill Semyonov,0,0.09
