,Player,Goals_21,ixG_21
188,Gustav Forsling,8,5.78
189,Quinn Hughes,7,3.35
190,Rasmus Dahlin,9,4.6
191,Alex Newhook,10,8.12
192,Alexis Lafrenière,18,9.13
193,Jeff Carter,11,11.81
194,Corey Perry,8,14.78
195,John Carlson,5,6.06
196,Kyle Palmieri,13,13.87
197,Dmitry Orlov,9,4.54
198,Jesper Fast,12,12.94
199,Tanner Pearson,11,12.85
200,Damon Severson,6,5.37
201,Josh Anderson,14,13.91
202,Connor Brown,9,9.1
203,Alex Wennberg,8,6.18
204,Pierre Engvall,10,11.12
205,Anthony Cirelli,10,12.16
206,Mikhail Sergachev,5,5.04
207,Drake Batherson,12,7.28
208,Logan Couture,11,12.2
209,Evander Kane,12,11.0
210,Christopher Tanev,5,3.05
211,Jean-Gabriel Pageau,12,9.25
212,Barclay Goodrow,10,9.91
213,Bo Horvat,12,10.11
214,Alex Tuch,7,8.92
215,Tony DeAngelo,8,4.69
216,Adrian Kempe,17,15.3
217,Jake Evans,11,9.42
218,Rasmus Andersson,2,4.2
219,Joel Eriksson Ek,11,12.11
220,Vladislav Gavrikov,4,4.86
221,Charlie McAvoy,3,6.32
222,Jesse Puljujarvi,9,14.07
223,Filip Hronek,2,3.78
224,Alex Formenton,12,13.75
225,Alex Iafallo,11,13.07
226,Jesperi Kotkaniemi,12,8.2
227,Noah Dobson,8,5.01
228,Dylan Cozens,11,11.64
229,Tim Stützle,11,11.65
230,Jamie Benn,9,14.3
231,Lars Eller,11,8.4
232,Derek Grant,11,9.56
233,William Karlsson,8,10.86
234,Scott Laughton,8,8.91
235,Ryan Graves,6,5.11
236,Sonny Milano,9,8.41
237,Oskar Lindblom,11,9.91
238,Pavel Zacha,8,11.51
239,Oliver Kylington,6,4.99
240,Lawson Crouse,15,10.58
241,Cole Caufield,15,11.58
242,Cole Sillinger,14,12.77
243,Zach Parise,9,11.21
244,TJ Brodie,4,2.96
245,Tomas Tatar,12,12.62
246,John Klingberg,3,4.92
247,Vladislav Namestnikov,12,11.15
248,Teuvo Teravainen,10,10.13
