,gameId,eventId,eventType,eventTypeDesc,period,periodTime,periodType,teamAwayID,teamHomeID,goalsHome,goalsAway,coX,coY,player1Id,player1Type,player1Name,player2Id,player2Type,player2Name,player3Id,player3Type,player3Name,player4Id,player4Type,player4Name,startDate,periodTimeFull,periodTimeFull_rounded,shot_angle,shot_distance,shot_angle_rad,shot_angle_vis
87900,2021020280,211,Goal,"Alex Ovechkin (15) Wrist Shot, assists: Dmitry Orlov (6), Tom Wilson (10)",3,03:09,REGULAR,15,55,4,2,-56,7,8471214,Scorer,Alex Ovechkin,8475200,Assist,Dmitry Orlov,8476880,Assist,Tom Wilson,8475831,Goalie,Philipp Grubauer,2021-11-22,0 days 00:43:09,0 days 00:43:00,2.7638573709125582,145.16886718577092,0.0482384111779383,1.5225579156169582
96576,2021020309,127,Goal,"Alex Ovechkin (16) Wrist Shot, assists: Tom Wilson (11), Aliaksei Protas (2)",2,02:50,REGULAR,13,15,2,1,74,11,8471214,Scorer,Alex Ovechkin,8476880,Assist,Tom Wilson,8481656,Assist,Aliaksei Protas,8475683,Goalie,Sergei Bobrovsky,2021-11-26,0 days 00:22:50,0 days 00:23:00,36.25383773744479,18.601075237738275,0.6327488350021832,0.9380474917927134
96581,2021020309,132,Goal,"Alex Ovechkin (17) Snap Shot, assists: Aliaksei Protas (3), Evgeny Kuznetsov (19)",2,03:46,REGULAR,13,15,3,1,66,-30,8471214,Scorer,Alex Ovechkin,8481656,Assist,Aliaksei Protas,8475744,Assist,Evgeny Kuznetsov,8481519,Goalie,Spencer Knight,2021-11-26,0 days 00:23:46,0 days 00:24:00,-52.52382043863863,37.8021163428716,-0.9167136023805363,2.487509929175433
96666,2021020309,216,Goal,"Alex Ovechkin (18) Slap Shot, assists: Evgeny Kuznetsov (20), Tom Wilson (12)",3,04:02,REGULAR,13,15,4,2,-73,-1,8471214,Scorer,Alex Ovechkin,8475744,Assist,Evgeny Kuznetsov,8476880,Assist,Tom Wilson,8475683,Goalie,Sergei Bobrovsky,2021-11-26,0 days 00:44:02,0 days 00:44:00,-0.35367315924646114,162.00308639035245,-0.006172761104780974,1.5769690878996776
102632,2021020329,184,Goal,"Alex Ovechkin (19) Wrist Shot, assists: Dmitry Orlov (8), Tom Wilson (13)",2,11:58,REGULAR,15,12,0,1,-85,-6,8471214,Scorer,Alex Ovechkin,8475200,Assist,Dmitry Orlov,8476880,Assist,Tom Wilson,8475883,Goalie,Frederik Andersen,2021-11-28,0 days 00:31:58,0 days 00:32:00,-1.9749340108819766,174.1034175425629,-0.034469100999508014,1.6052654277944045
116438,2021020372,122,Goal,"Alex Ovechkin (20) Snap Shot, assists: John Carlson (18)",2,03:12,REGULAR,29,15,2,0,55,-21,8471214,Scorer,Alex Ovechkin,8474590,Assist,John Carlson,8480193,Goalie,Daniil Tarasov,0,0,0,2021-12-05,0 days 00:23:12,0 days 00:23:00,-31.701429669505718,39.96248240537617,-0.5532943253222926,2.1240906521171894
120403,2021020384,316,Goal,Alex Ovechkin - Backhand,5,00:00,SHOOTOUT,24,15,3,3,-78,-3,8471214,Scorer,Alex Ovechkin,8476434,Goalie,John Gibson,0,0,0,0,0,0,2021-12-07,0 days 01:20:00,0 days 01:20:00,-1.0291548043059813,167.0269439342048,-0.01796213984785729,1.5887584666427539
140882,2021020451,105,Goal,"Alex Ovechkin (21) Slap Shot, assists: T.J. Oshie (6), Nicklas Backstrom (1)",2,03:36,REGULAR,15,16,0,1,-58,-24,8471214,Scorer,Alex Ovechkin,8471698,Assist,T.J. Oshie,8473563,Assist,Nicklas Backstrom,8470594,Goalie,Marc-Andre Fleury,2021-12-16,0 days 00:23:36,0 days 00:24:00,-9.2726017772003,148.94629904767692,-0.16183743123842292,1.7326337580333195
146716,2021020469,345,Goal,"Alex Ovechkin (22) Wrist Shot, assists: Daniel Sprong (5), John Carlson (20)",3,19:09,REGULAR,15,52,2,5,12,4,8471214,Scorer,Alex Ovechkin,8478466,Assist,Daniel Sprong,8474590,Assist,John Carlson,0,0,0,2021-12-18,0 days 00:59:09,0 days 00:59:00,2.973731082480109,77.10382610480494,0.051901398458172966,1.5188949283367237
175332,2021020560,229,Goal,"Alex Ovechkin (23) Slap Shot, assists: Evgeny Kuznetsov (22), Nicklas Backstrom (3)",3,17:09,REGULAR,15,17,1,2,41,15,8471214,Scorer,Alex Ovechkin,8475744,Assist,Evgeny Kuznetsov,8473563,Assist,Nicklas Backstrom,8471306,Goalie,Thomas Greiss,2022-01-01,0 days 00:57:09,0 days 00:57:00,17.35402463626132,50.28916384272063,0.3028848683749714,1.2679114584199251
