pk,season,type,startDate,endDate,status,teamAwayID,teamHomeID
2021020650,20212022,R,2022-01-14T00:00:00Z,2022-01-14T02:46:07Z,Final,4,6
2021020651,20212022,R,2022-01-14T00:30:00Z,2022-01-14T03:02:07Z,Final,52,17
2021020652,20212022,R,2022-01-14T00:00:00Z,2022-01-14T02:42:34Z,Final,23,14
2021020653,20212022,R,2022-01-14T00:30:00Z,2022-01-14T03:05:28Z,Final,1,2
2021020654,20212022,R,2022-01-14T00:00:00Z,2022-01-14T02:24:02Z,Final,29,12
2021020655,20212022,R,2022-01-14T01:30:00Z,2022-01-14T04:18:21Z,Final,8,16
2021020656,20212022,R,2022-01-14T01:00:00Z,2022-01-14T03:27:52Z,Final,55,19
2021020657,20212022,R,2022-01-14T01:00:00Z,2022-01-14T03:33:10Z,Final,7,18
2021020658,20212022,R,2022-01-14T02:00:00Z,2022-01-14T04:25:53Z,Final,9,20
2021020659,20212022,R,2022-01-14T03:30:00Z,2022-01-14T06:02:48Z,Final,5,26
2021020660,20212022,R,2022-01-14T03:30:00Z,2022-01-14T06:02:22Z,Final,3,28
2021020661,20212022,R,2022-01-15T00:00:00Z,2022-01-15T02:43:22Z,Final,25,13
2021020662,20212022,R,2022-01-15T01:00:00Z,2022-01-15T03:44:22Z,Final,24,30
2021020663,20212022,R,2022-01-15T02:00:00Z,2022-01-15T04:47:10Z,Final,53,21
2021020664,20212022,R,2022-02-09T02:00:00Z,2022-02-09T04:27:08Z,Final,54,22
2021020665,20212022,R,2022-01-15T18:00:00Z,2022-01-15T20:53:27Z,Final,18,6
2021020666,20212022,R,2022-02-09T00:00:00Z,2022-02-09T02:34:30Z,Final,1,8
2021020667,20212022,R,2022-01-16T00:00:00Z,2022-01-16T02:34:35Z,Final,7,17
2021020668,20212022,R,2022-01-16T00:00:00Z,2022-01-16T02:39:32Z,Final,25,14
2021020669,20212022,R,2022-01-15T23:00:00Z,2022-01-16T01:27:39Z,Final,29,13
2021020670,20212022,R,2022-01-15T19:00:00Z,2022-01-15T21:28:59Z,Final,15,2
2021020671,20212022,R,2022-01-16T00:00:00Z,2022-01-16T02:19:35Z,Final,3,4
2021020672,20212022,R,2022-01-15T18:00:00Z,2022-01-15T20:37:54Z,Final,23,12
2021020673,20212022,R,2022-01-16T01:30:00Z,2022-01-16T03:55:58Z,Final,24,16
2021020674,20212022,R,2022-01-16T00:00:00Z,2022-01-16T02:48:38Z,Final,10,19
2021020675,20212022,R,2022-03-25T00:00:00Z,2022-03-25T02:33:13Z,Final,9,52
2021020676,20212022,R,2022-02-10T02:30:00Z,2022-02-10T05:15:54Z,Final,54,20
2021020677,20212022,R,2022-01-16T02:00:00Z,2022-01-16T04:27:53Z,Final,21,53
2021020678,20212022,R,2022-01-16T03:30:00Z,2022-01-16T06:00:55Z,Final,5,28
2021020679,20212022,R,2022-01-16T03:00:00Z,2022-01-16T05:29:51Z,Final,26,55
2021020680,20212022,R,2022-01-16T19:00:00Z,2022-01-16T21:36:13Z,Final,23,15
2021020681,20212022,R,2022-02-19T21:00:00Z,2022-02-19T23:34:45Z,Final,22,52
2021020682,20212022,R,2022-01-17T18:00:00Z,2022-01-17T20:37:59Z,Final,17,7
