"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"647","Ryan Lindgren","NYR","D","51","850.86666666667","1","11","4","7","12","30.00","62","1.61","2.79","124","85","40","9","1","7","31","14","13","1","0","10","22","15","79","114","36","0","0","-"
"661","Sam Steel","ANA","C","42","517.71666666667","6","6","3","3","12","70.59","37","16.22","3.56","60","45","37","18","0","3","8","4","4","0","0","5","11","10","40","40","15","196","187","51.17"
"686","Pierre-Luc Dubois","CBJ, WPG","C, L","46","592.6","6","6","3","3","12","60.00","58","10.34","5.58","102","76","69","26","1","9","32","12","11","0","1","14","7","18","56","63","26","157","199","44.10"
"755","Robert Thomas","STL","C","33","380.65","3","9","6","3","12","54.55","18","16.67","2.74","37","31","30","12","0","5","10","5","5","0","0","3","15","10","5","23","11","101","142","41.56"
"786","Alexander Volkov","ANA, T.B","R","37","389.4","7","5","1","4","12","70.59","34","20.59","3.88","48","40","37","22","1","2","6","3","3","0","0","3","5","10","35","46","23","2","3","40.00"
"804","Zach Whitecloud","VGK","D","51","789.21666666667","2","10","4","6","12","42.86","51","3.92","3.08","120","83","34","9","3","9","22","11","11","0","0","7","14","8","76","144","57","0","0","-"
"827","Rasmus Dahlin","BUF","D","56","974.03333333333","4","8","4","4","12","41.38","78","5.13","3.98","144","99","42","14","3","13","24","12","12","0","0","13","33","9","78","70","39","0","0","-"
"845","Dominik Kahun","EDM","C","48","588.58333333333","8","4","3","1","12","57.14","66","12.12","6.57","107","87","71","31","1","4","2","1","1","0","0","4","16","11","13","28","12","15","12","55.56"
"852","John Leonard","S.J","L","44","445.11666666667","2","10","7","3","12","85.71","53","3.77","4.65","96","80","54","19","4","9","2","1","1","0","0","2","9","12","25","32","17","0","0","-"
"868","Dylan Cozens","BUF","C","41","498.38333333333","3","9","8","1","12","60.00","50","6.00","4.64","85","67","61","26","5","5","16","5","3","2","0","9","15","13","26","46","11","81","100","44.75"
"17","Corey Perry","MTL","R","49","548.18333333333","6","5","4","1","11","73.33","46","13.04","4.47","81","62","48","22","3","4","37","10","6","3","1","15","14","12","55","41","14","0","6","0.00"
