"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"9","Eric Staal","BUF, MTL","C","53","680.26666666667","3","6","2","4","9","90.00","66","4.55","6.74","126","93","72","32","3","9","8","4","4","0","0","2","23","16","21","34","14","235","238","49.68"
"32","Carl Soderberg","CHI, COL","C","45","486","2","7","5","2","9","60.00","45","4.44","3.4","66","55","37","22","3","2","18","9","9","0","0","8","12","7","60","45","28","150","144","51.02"
"39","Bobby Ryan","DET","R","33","393.16666666667","5","4","4","0","9","69.23","51","9.80","3.47","88","67","38","14","3","2","10","5","5","0","0","6","12","10","30","31","17","4","11","26.67"
"44","Andrew Cogliano","DAL","C","54","656.28333333333","4","5","3","2","9","60.00","78","5.13","6.54","139","106","77","35","6","7","24","9","7","2","0","13","9","10","79","54","20","4","10","28.57"
"49","Keith Yandle","FLA","D","56","691.13333333333","2","7","3","4","9","31.03","63","3.17","1.78","124","82","24","3","3","7","28","14","14","0","0","3","23","9","17","11","24","0","0","-"
"61","Kyle Okposo","BUF","R","35","414.7","1","8","3","5","9","69.23","40","2.50","3.84","62","54","37","20","1","5","0","0","0","0","0","3","8","8","27","32","10","16","17","48.48"
"81","Kevin Shattenkirk","ANA","D","55","960.88333333333","1","8","4","4","9","28.13","64","1.56","2.65","135","87","30","4","2","10","28","14","14","0","0","7","25","13","55","71","51","0","0","-"
"85","Sam Gagner","DET","C","42","484.36666666667","3","6","4","2","9","64.29","66","4.55","5.68","100","85","49","24","3","8","13","5","4","1","0","4","8","7","4","37","10","54","63","46.15"
"92","Brandon Sutter","VAN","C","43","504.2","6","3","2","1","9","56.25","51","11.76","4.76","77","68","38","21","4","3","2","1","1","0","0","9","13","18","16","46","22","211","170","55.38"
"125","Tyler Ennis","EDM","C","30","351","3","6","3","3","9","75.00","35","8.57","3.51","55","48","33","20","2","2","6","3","3","0","0","4","9","10","43","42","6","6","3","66.67"
"131","Travis Hamonic","VAN","D","38","645.18333333333","3","6","2","4","9","45.00","78","3.85","2.55","150","100","30","4","1","8","37","10","6","3","1","4","14","9","47","66","74","0","0","-"
"141","Matt Martin","NYI","L","54","561.73333333333","5","4","3","1","9","52.94","65","7.69","5.33","88","78","56","27","2","5","34","10","7","2","1","8","6","11","180","41","23","3","9","25.00"
"150","Tyler Bozak","STL","C","31","351.71666666667","2","7","4","3","9","75.00","24","8.33","1.81","39","34","27","8","0","3","8","4","4","0","0","3","6","10","17","21","17","155","110","58.49"
"155","Alex Chiasson","EDM","R","45","416.8","4","5","2","3","9","81.82","36","11.11","3.41","59","48","37","12","1","5","33","8","4","3","1","3","10","13","40","46","6","2","3","40.00"
"159","Matt Duchene","NSH","C","33","413.51666666667","4","5","4","1","9","50.00","51","7.84","5.34","96","77","66","29","4","3","4","2","2","0","0","12","13","10","28","22","8","130","106","55.08"
"162","Oliver Ekman-Larsson","ARI","D","46","737.45","1","8","5","3","9","37.50","57","1.75","2.12","131","92","21","0","0","10","24","12","12","0","0","7","24","9","62","55","17","0","0","-"
"165","Calvin de Haan","CHI","D","43","697.01666666667","1","8","3","5","9","40.91","56","1.79","1.97","130","83","24","5","0","10","12","6","6","0","0","5","31","13","85","50","63","0","0","-"
"222","Austin Watson","OTT","L","34","327.15","3","6","2","4","9","60.00","37","8.11","3.4","71","54","37","15","1","2","35","10","5","5","0","12","9","3","91","28","39","4","5","44.44"
"256","Ryan Dzingel","CAR, OTT","C, L","40","425.71666666667","5","4","2","2","9","90.00","34","14.71","3.23","69","50","42","18","1","2","19","8","7","1","0","4","7","7","44","29","9","2","9","18.18"
"262","Travis Boyd","TOR, VAN","C","39","372.25","4","5","2","3","9","64.29","19","21.05","2.17","42","33","26","10","1","0","2","1","1","0","0","8","6","6","18","47","15","67","70","48.91"
"278","Josh Leivo","CGY","L","38","384.01666666667","6","3","1","2","9","75.00","49","12.24","5.17","91","74","59","22","2","9","6","3","3","0","0","5","10","16","33","20","2","3","9","25.00"
"328","Brady Skjei","CAR","D","52","899.75","3","6","2","4","9","28.13","97","3.09","3.82","171","129","35","6","2","13","26","13","13","0","0","5","34","17","61","88","44","0","0","-"
"332","Mark Jankowski","PIT","C","45","387.66666666667","2","7","2","5","9","75.00","27","7.41","2.16","50","36","30","11","0","2","4","2","2","0","0","2","2","9","35","50","13","123","129","48.81"
"349","Shayne Gostisbehere","PHI","D","41","660.95","3","6","3","3","9","25.71","49","6.12","2.28","118","75","28","4","1","7","4","2","2","0","0","6","21","8","17","40","38","0","0","-"
"354","Jimmy Vesey","TOR, VAN","L","50","545.68333333333","5","4","3","1","9","60.00","53","9.43","5.91","88","76","61","26","5","2","8","4","4","0","0","8","10","12","38","33","14","1","3","25.00"
"365","Jaccob Slavin","CAR","D","52","974.73333333333","2","7","4","3","9","20.00","91","2.20","3.92","198","136","53","10","5","21","2","1","1","0","0","3","25","19","28","77","64","0","0","-"
"471","Frederick Gaudreau","PIT","C","19","203.5","2","7","2","5","9","75.00","20","10.00","2.02","32","27","23","8","2","3","2","1","1","0","0","0","4","9","9","21","9","60","54","52.63"
"500","Marcus Pettersson","PIT","D","47","713.25","2","7","3","4","9","31.03","41","4.88","1.7","87","63","21","3","1","6","18","9","9","0","0","2","12","8","47","124","33","0","0","-"
"562","Christian Fischer","ARI","R","52","537.6","2","7","3","4","9","60.00","40","5.00","4.13","77","60","45","25","2","10","6","3","3","0","0","7","11","3","139","50","19","7","5","58.33"
"571","Nicholas Merkley","N.J","R","27","287.7","2","7","7","0","9","75.00","35","5.71","2.96","57","43","34","14","1","4","7","2","1","1","0","7","7","7","27","17","5","2","6","25.00"
"610","Kevin Stenlund","CBJ","C","32","362.65","5","4","4","0","9","52.94","38","13.16","3.67","70","52","34","17","0","11","8","4","4","0","0","6","7","6","16","41","13","98","110","47.12"
"652","Rasmus Asplund","BUF","C","28","330.23333333333","6","3","2","1","9","81.82","33","18.18","2.89","42","40","25","16","1","3","0","0","0","0","0","2","3","12","15","24","3","5","9","35.71"
"653","Carl Grundstrom","L.A","R","47","534.51666666667","6","3","2","1","9","56.25","61","9.84","4.28","95","77","48","23","4","5","16","8","8","0","0","6","9","6","101","54","23","3","4","42.86"
"673","Dante Fabbro","NSH","D","40","667.48333333333","1","8","4","4","9","42.86","54","1.85","1.24","93","67","13","3","0","3","21","9","8","1","0","5","24","7","27","67","47","0","0","-"
"696","Jacob MacDonald","COL","D","33","455.86666666667","1","8","3","5","9","42.86","48","2.08","2.42","113","73","34","6","0","12","8","4","4","0","0","2","8","8","36","43","27","0","0","-"
"697","Troy Stecher","DET","D","44","704.7","2","7","2","5","9","37.50","49","4.08","1.56","122","76","29","3","2","2","12","6","6","0","0","4","26","8","33","68","41","0","0","-"
"700","Drake Caggiula","ARI, BUF","C","38","418.81666666667","2","7","4","3","9","64.29","42","4.76","4.09","73","58","45","23","2","7","15","5","4","1","0","7","10","9","62","28","9","5","7","41.67"
"741","Mikey Anderson","L.A","D","54","999.58333333333","1","8","2","6","9","30.00","51","1.96","1.8","109","73","24","4","0","6","30","15","15","0","0","6","27","14","62","120","53","0","0","-"
"774","Erik Brannstrom","OTT","D","30","403.58333333333","1","8","3","5","9","40.91","32","3.13","1.17","71","43","22","3","0","0","25","11","10","1","0","6","26","6","23","59","17","0","0","-"
"816","Isac Lundestrom","ANA","C","41","522.21666666667","6","3","2","1","9","56.25","44","13.64","4.05","78","62","51","25","2","4","14","7","7","0","0","1","12","16","15","42","18","166","186","47.16"
"834","Noah Dobson","NYI","D","46","649.03333333333","3","6","3","3","9","37.50","60","5.00","2.07","116","79","34","2","0","7","8","4","4","0","0","6","22","11","39","84","54","0","0","-"
"862","Blake Lizotte","L.A","C","41","442.3","2","7","1","6","9","60.00","34","5.88","3.52","67","53","38","21","1","6","16","8","8","0","0","8","6","4","29","48","17","163","145","52.92"
"888","Joel Kiviranta","DAL","L","26","289.45","4","5","4","1","9","69.23","26","15.38","2.7","48","36","29","11","1","0","4","2","2","0","0","2","3","7","37","36","11","1","6","14.29"
"891","Nikolai Knyzhov","S.J","D","56","863.58333333333","2","7","3","4","9","28.13","47","4.26","1.47","91","59","18","3","1","3","37","16","15","1","0","4","12","16","79","82","46","0","0","-"
"8","Duncan Keith","CHI","D","53","908.73333333333","3","5","3","2","8","22.22","74","4.05","2.65","151","95","31","4","1","11","28","13","13","0","0","0","48","23","30","56","72","0","0","-"
"20","Shea Weber","MTL","D","48","788.21666666667","2","6","4","2","8","26.67","71","2.82","2.02","151","99","28","1","1","6","25","11","10","1","0","3","44","8","59","43","43","0","0","-"
"36","Alexander Edler","VAN","D","52","854.08333333333","0","8","5","3","8","24.24","83","0.00","2.16","151","113","22","1","1","11","52","19","16","2","1","7","21","9","73","110","90","0","0","-"
"42","Marc Staal","DET","D","56","889.28333333333","3","5","3","2","8","26.67","45","6.67","2.41","89","63","27","5","1","4","20","10","10","0","0","4","31","5","54","43","32","0","0","-"
"48","Kris Russell","EDM","D","35","556.3","0","8","4","4","8","47.06","39","0.00","1.71","85","52","17","6","2","6","8","4","4","0","0","4","27","8","34","63","64","0","0","-"
"73","Artem Anisimov","OTT","C","19","191.66666666667","1","7","4","3","8","88.89","21","4.76","2.04","40","30","27","6","3","1","2","1","1","0","0","0","6","4","9","15","9","36","51","41.38"
"171","Brayden McNabb","VGK","D","41","669.86666666667","2","6","1","5","8","28.57","38","5.26","2.16","104","63","41","7","6","6","14","7","7","0","0","4","10","7","91","64","52","0","0","-"
"186","Nicolas Deslauriers","ANA","L","49","539.7","4","4","1","3","8","57.14","62","6.45","5.92","120","99","55","26","2","6","51","14","8","5","1","8","5","4","136","39","19","1","3","25.00"
"212","Patrik Nemeth","COL, DET","D","52","791.9","3","5","2","3","8","26.67","49","6.12","1.21","97","66","20","0","1","5","16","8","8","0","0","2","15","1","78","88","42","0","0","-"
"214","Tyler Pitlick","ARI","C","38","456.46666666667","4","4","4","0","8","53.33","45","8.89","4.78","99","72","58","25","2","7","14","7","7","0","0","6","4","11","74","48","33","3","2","60.00"
"221","Vladimir Tarasenko","STL","R","24","330.28333333333","2","6","5","1","8","88.89","42","4.76","3","74","54","40","11","4","2","0","0","0","0","0","3","7","10","30","21","14","0","0","-"
"261","Josh Archibald","EDM","R","52","564.91666666667","4","4","3","1","8","42.11","52","7.69","5.76","89","74","53","32","2","6","25","10","9","1","0","4","12","4","170","64","22","2","3","40.00"
"268","Sean Kuraly","BOS","C","47","549.78333333333","4","4","2","2","8","57.14","75","5.33","5.3","117","96","64","21","3","3","18","9","9","0","0","9","11","16","92","52","17","175","126","58.14"
"288","Brett Ritchie","CGY","R","32","350.81666666667","4","4","3","1","8","80.00","32","12.50","3.85","71","59","46","17","3","2","24","9","7","2","0","4","9","5","97","37","6","3","6","33.33"
"313","Colin Miller","BUF","D","48","755.28333333333","3","5","3","2","8","38.10","50","6.00","1.53","118","78","15","1","0","3","27","12","11","1","0","10","22","12","89","50","42","0","0","-"
"327","Phillip Di Giuseppe","NYR","L","31","327.7","1","7","6","1","8","72.73","43","2.33","2.29","67","55","26","12","1","7","13","5","4","1","0","3","6","13","77","27","15","3","4","42.86"
"368","Brett Kulak","MTL","D","46","723.18333333333","2","6","4","2","8","30.77","56","3.57","1.9","112","71","28","8","2","5","18","9","9","0","0","3","33","8","28","83","54","0","0","-"
"369","Cedric Paquette","CAR, OTT","C","47","399.28333333333","4","4","0","4","8","66.67","32","12.50","4.69","61","48","41","22","1","6","19","8","7","1","0","8","5","8","133","45","25","26","38","40.63"
"373","Vinnie Hinostroza","CHI, FLA","C, L","25","285.35","2","6","5","1","8","88.89","29","6.90","2.71","46","36","29","12","3","2","8","4","4","0","0","4","10","9","35","36","2","3","16","15.79"
"394","Andreas Johnsson","N.J","L","50","587.56666666667","3","5","3","2","8","40.00","60","5.00","5.67","94","79","67","26","1","5","12","6","6","0","0","8","10","22","39","46","16","11","12","47.83"
"397","Tyler Motte","VAN","C","24","300.18333333333","6","2","2","0","8","66.67","38","15.79","3.42","68","51","32","20","1","3","8","4","4","0","0","4","4","10","97","30","22","8","12","40.00"
"444","Rasmus Ristolainen","BUF","D","49","843.5","1","7","3","4","8","32.00","56","1.79","2.08","119","83","34","6","3","5","32","16","16","0","0","5","9","11","166","79","54","0","0","-"
"462","Joel Hanley","DAL","D","35","434.5","0","8","2","6","8","44.44","27","0.00","1.02","51","39","10","2","0","4","2","1","1","0","0","3","7","4","37","54","28","0","0","-"
"472","Pierre-Edouard Bellemare","COL","C","53","470.96666666667","6","2","0","2","8","66.67","53","11.32","5.04","92","72","54","23","4","9","19","8","7","1","0","4","11","12","26","31","21","183","127","59.03"
"474","Aaron Ekblad","FLA","D","35","605.18333333333","4","4","2","2","8","36.36","57","7.02","2.59","113","79","32","5","2","6","23","10","9","1","0","8","15","9","21","41","16","0","0","-"
"539","Dryden Hunt","ARI","L","26","303.05","3","5","3","2","8","100.00","39","7.69","3.63","65","53","38","18","1","5","4","2","2","0","0","4","6","3","94","43","5","4","9","30.77"
"549","Jack Eichel","BUF","C","21","327.25","1","7","3","4","8","80.00","38","2.63","2.97","62","52","34","13","0","6","6","3","3","0","0","5","6","3","20","22","13","143","156","47.83"
"573","Ethan Bear","EDM","D","43","651.43333333333","2","6","2","4","8","34.78","48","4.17","1.81","93","64","20","2","1","6","14","7","7","0","0","7","35","12","29","78","35","0","0","-"
"576","Austin Wagner","L.A","L","44","449.63333333333","4","4","3","1","8","72.73","65","6.15","5.17","98","85","58","26","4","6","15","6","5","1","0","10","5","5","97","45","10","0","2","0.00"
"604","Tanner Kero","DAL","C","39","374.95","3","5","2","3","8","80.00","36","8.33","2.79","60","44","37","19","1","6","6","3","3","0","0","4","9","8","30","30","13","23","12","65.71"
"627","Steven Lorentz","CAR","C","45","452.66666666667","2","6","1","5","8","57.14","39","5.13","4.27","74","59","46","21","1","2","8","4","4","0","0","3","10","9","47","75","14","153","139","52.40"
"649","Julien Gauthier","NYR","R","30","278.45","2","6","5","1","8","80.00","37","5.41","3.67","55","46","33","23","1","4","14","6","6","0","0","9","9","5","56","27","9","3","4","42.86"
"694","Tage Thompson","BUF","R","38","463.91666666667","3","5","3","2","8","61.54","86","3.49","7.33","129","103","79","45","5","9","17","7","6","1","0","5","7","13","24","26","8","2","5","28.57"
"738","Michael Rasmussen","DET","C","40","456.91666666667","2","6","6","0","8","47.06","40","5.00","3.9","68","50","40","23","0","4","18","9","9","0","0","10","8","5","65","55","26","118","145","44.87"
"748","Eeli Tolvanen","NSH","R","39","468.21666666667","3","5","2","3","8","72.73","36","8.33","3.04","82","60","35","12","4","4","4","2","2","0","0","3","5","7","75","31","15","1","5","16.67"
"761","Henri Jokiharju","BUF","D","46","766.8","3","5","3","2","8","29.63","48","6.25","1.84","105","72","26","1","2","5","4","2","2","0","0","2","12","7","46","50","46","0","0","-"
"835","Adam Boqvist","CHI","D","34","434.63333333333","1","7","0","7","8","44.44","24","4.17","1.37","55","32","26","4","1","3","12","6","6","0","0","9","18","6","27","43","24","0","0","-"
"45","James Neal","EDM","L","29","292.23333333333","4","3","2","1","7","70.00","41","9.76","2.66","73","53","35","14","4","1","11","4","3","1","0","1","10","7","24","30","6","2","5","28.57"
"51","Darren Helm","DET","L","47","579.58333333333","2","5","2","3","7","53.85","75","2.67","4.47","117","86","59","16","2","7","10","5","5","0","0","9","9","8","37","61","14","4","1","80.00"
"54","Anton Stralman","FLA","D","38","597.5","3","4","2","2","7","33.33","32","9.38","1.36","66","47","14","4","2","2","8","4","4","0","0","4","17","12","34","51","22","0","0","-"
"62","Trevor Lewis","WPG","C","56","444.55","3","4","1","3","7","77.78","64","4.69","4.64","108","89","57","25","6","4","2","1","1","0","0","4","5","6","68","72","16","10","8","55.56"
"63","Leo Komarov","NYI","R","33","373.53333333333","1","6","3","3","7","50.00","24","4.17","2.05","37","30","25","14","0","1","11","4","3","1","0","2","8","9","78","18","9","26","39","40.00"
"79","Ian Cole","COL, MIN","D","54","763.33333333333","1","6","2","4","7","17.07","27","3.70","0.85","52","40","6","1","0","6","32","16","16","0","0","1","22","8","38","48","84","0","0","-"
"133","Marco Scandella","STL","D","49","833.26666666667","3","4","0","4","7","20.59","51","5.88","1.91","105","60","28","7","3","5","18","9","9","0","0","3","23","13","56","60","54","0","0","-"
"151","Marcus Johansson","MIN","C","36","428.93333333333","3","4","2","2","7","58.33","37","8.11","2.95","68","51","30","13","1","3","4","2","2","0","0","4","13","8","10","25","9","24","32","42.86"
"237","Joakim Nordstrom","CGY","C","44","391.48333333333","1","6","1","5","7","50.00","40","2.50","4.03","70","58","38","21","0","2","6","3","3","0","0","6","9","6","90","38","20","5","6","45.45"
"263","Dylan DeMelo","WPG","D","52","733.36666666667","0","7","4","3","7","20.59","40","0.00","1.5","84","59","21","4","1","6","16","8","8","0","0","3","36","4","76","87","50","0","0","-"
"266","Tobias Rieder","BUF","L","44","459.28333333333","5","2","1","1","7","70.00","58","8.62","4.93","81","71","51","26","5","3","2","1","1","0","0","6","2","14","21","32","24","0","5","0.00"
"378","Christian Djoos","DET","D","36","432.63333333333","1","6","3","3","7","58.33","31","3.23","1.23","57","39","18","3","1","1","12","6","6","0","0","2","15","5","10","18","25","0","0","-"
"449","Josh Morrissey","WPG","D","56","1031.8666666667","2","5","3","2","7","18.42","87","2.30","3.77","175","121","47","6","3","6","21","8","7","1","0","3","32","11","67","21","67","0","0","-"
"467","Jordan Oesterle","ARI","D","43","622.5","0","7","3","4","7","28.00","34","0.00","1.68","76","55","23","4","3","6","8","4","4","0","0","1","20","2","40","78","50","1","0","100.00"
"538","Matthew Highmore","CHI, VAN","C","42","428.7","3","4","0","4","7","53.85","38","7.89","4.11","69","58","40","21","2","3","8","4","4","0","0","10","11","9","43","73","18","1","4","20.00"
"554","Jakub Zboril","BOS","D","42","640.7","0","7","4","3","7","35.00","33","0.00","0.97","77","48","22","1","3","3","16","8","8","0","0","8","13","5","57","85","32","0","0","-"
"584","Jeremy Lauzon","BOS","D","41","622.28333333333","1","6","4","2","7","29.17","44","2.27","1.36","92","60","17","2","3","2","38","12","9","2","1","7","19","7","73","75","36","0","0","-"
"608","Noel Acciari","FLA","C","41","480.53333333333","3","4","4","0","7","43.75","54","5.56","5.55","85","70","52","29","5","8","9","3","2","1","0","9","10","9","83","61","44","199","174","53.35"
"623","Adam Gaudette","CHI, VAN","C","40","396.71666666667","4","3","2","1","7","70.00","60","6.67","6.44","98","82","70","32","1","5","10","5","5","0","0","7","5","9","16","34","22","38","56","40.43"
"628","Markus Nutivaara","FLA","D","30","432.75","0","7","2","5","7","38.89","41","0.00","2.06","76","59","17","0","1","4","12","6","6","0","0","2","10","6","33","54","13","0","0","-"
"629","Matt Roy","L.A","D","44","705.46666666667","2","5","1","4","7","31.82","51","3.92","1.92","128","79","22","5","2","5","6","3","3","0","0","4","21","4","55","81","58","0","0","-"
"670","Max Jones","ANA","L","46","558.85","4","3","1","2","7","36.84","65","6.15","6.07","115","88","73","38","3","9","32","13","11","2","0","18","7","15","98","43","9","3","5","37.50"
"687","Jake Bean","CAR","D","42","542.81666666667","0","7","3","4","7","41.18","48","0.00","2.21","99","70","24","2","2","9","10","5","5","0","0","4","15","11","16","49","20","0","0","-"
"695","Filip Hronek","DET","D","56","970.36666666667","0","7","2","5","7","33.33","80","0.00","2.65","157","109","31","4","3","7","12","6","6","0","0","9","23","6","57","62","37","0","0","-"
"712","Mikhail Maltsev","N.J","L","33","361.11666666667","4","3","1","2","7","50.00","50","8.00","4","102","76","48","16","4","0","4","2","2","0","0","7","11","22","25","12","8","71","85","45.51"
"737","Morgan Geekie","CAR","C","36","306.88333333333","1","6","6","0","7","63.64","22","4.55","1.64","45","32","20","8","0","0","8","4","4","0","0","5","5","5","27","51","5","64","52","55.17"
"745","Jesper Boqvist","N.J","C","28","293.98333333333","4","3","2","1","7","70.00","32","12.50","3.48","59","49","38","18","0","1","2","1","1","0","0","4","10","8","15","34","9","25","39","39.06"
"785","Eetu Luostarinen","FLA","C","44","464.45","2","5","1","4","7","58.33","29","6.90","3.29","55","40","33","16","2","8","10","5","5","0","0","13","10","20","55","52","18","161","174","48.06"
"7","Frans Nielsen","DET","C","29","295.41666666667","1","5","3","2","6","66.67","23","4.35","2.69","34","32","19","10","1","4","0","0","0","0","0","3","4","5","23","22","8","18","18","50.00"
"80","Justin Braun","PHI","D","53","833.25","1","5","1","4","6","18.75","54","1.85","1.82","114","77","22","4","2","7","18","9","9","0","0","1","26","7","69","56","54","0","0","-"
"88","Riley Nash","CBJ","C","37","411.65","2","4","3","1","6","42.86","37","5.41","2.8","54","48","30","11","2","3","4","2","2","0","0","3","4","9","33","49","16","142","136","51.08"
"108","Wayne Simmonds","TOR","R","38","379.06666666667","4","2","0","2","6","75.00","53","7.55","4.66","88","71","54","25","2","3","35","9","5","3","1","7","17","12","61","32","15","4","4","50.00"
"154","Kyle Clifford","STL","L","50","467.46666666667","4","2","2","0","6","60.00","63","6.35","4.66","102","84","49","21","4","5","28","8","4","4","0","10","13","7","69","57","16","6","6","50.00"
"182","Sami Vatanen","DAL, N.J","D","39","562.48333333333","2","4","4","0","6","25.00","52","3.85","1.58","96","65","14","2","2","3","20","9","9","0","0","2","20","8","25","34","38","0","0","-"
"187","Cody Eakin","BUF","C","46","508.2","2","4","2","2","6","46.15","36","5.56","2.94","55","47","26","15","5","4","14","7","7","0","0","4","14","16","31","23","14","217","194","52.80"
"190","Ben Chiarot","MTL","D","41","726.91666666667","0","6","4","2","6","27.27","72","0.00","2.16","146","101","36","4","2","5","44","15","11","4","0","7","41","7","61","78","43","0","0","-"
"259","Josh Manson","ANA","D","23","344.75","0","6","4","2","6","40.00","17","0.00","0.57","46","24","12","1","0","3","28","11","9","2","0","4","12","5","49","36","17","0","0","-"
"290","Matt Nieto","S.J","L","28","301.88333333333","4","2","2","0","6","66.67","41","9.76","3.82","49","45","34","25","0","3","4","2","2","0","0","1","4","5","25","30","10","4","2","66.67"
"351","Devin Shore","EDM","C","38","362.01666666667","2","4","3","1","6","66.67","21","9.52","1.92","32","27","17","9","0","0","6","3","3","0","0","1","6","14","71","36","22","48","41","53.93"
"370","Erik Gustafsson","MTL, PHI","D","29","401.55","1","5","2","3","6","33.33","23","4.35","0.95","68","39","11","2","1","7","0","0","0","0","0","2","20","5","19","43","19","0","0","-"
"398","Will Butcher","N.J","D","23","389.1","1","5","3","2","6","50.00","28","3.57","0.93","56","37","10","2","0","1","2","1","1","0","0","2","8","8","7","24","27","0","0","-"
"400","Connor Clifton","BOS","D","44","717.8","1","5","2","3","6","22.22","47","2.13","1.71","100","70","20","3","5","6","38","14","12","2","0","6","14","12","101","111","45","0","0","-"
"417","Ben Harpur","NSH","D","33","477.28333333333","0","6","3","3","6","33.33","31","0.00","0.97","55","43","11","1","2","2","17","7","6","1","0","3","27","6","40","41","26","0","0","-"
"452","Nikita Zadorov","CHI","D","54","917.86666666667","1","5","2","3","6","20.00","50","2.00","2.16","116","71","29","2","3","6","36","15","13","2","0","7","34","14","174","86","61","0","0","-"
"519","Sam Lafferty","PIT","C, R","34","322.55","0","6","3","3","6","66.67","33","0.00","2.73","57","45","37","8","1","3","23","10","9","1","0","8","6","5","87","55","10","52","47","52.53"
"561","Evgeny Svechnikov","DET","R","21","212.91666666667","2","4","3","1","6","85.71","16","12.50","1.93","26","22","19","9","0","4","10","5","5","0","0","0","9","2","19","22","6","1","2","33.33"
"593","Jacob Larsson","ANA","D","46","695.66666666667","1","5","2","3","6","25.00","38","2.63","1.42","99","65","13","0","1","6","14","7","7","0","0","0","21","4","33","69","47","0","0","-"
"600","John Marino","PIT","D","52","875.31666666667","2","4","1","3","6","18.18","46","4.35","1.63","88","65","19","3","1","5","8","4","4","0","0","5","18","25","40","85","39","0","0","-"
"660","Kale Clague","L.A","D","18","259.81666666667","0","6","2","4","6","46.15","20","0.00","0.6","41","29","8","0","0","3","4","2","2","0","0","2","5","1","8","16","11","0","0","-"
"683","Noah Gregor","S.J","C","30","325.93333333333","5","1","0","1","6","75.00","57","8.77","4.06","93","74","42","16","1","3","4","2","2","0","0","4","6","10","47","22","18","20","45","30.77"
"728","Nolan Patrick","PHI","C","52","559.5","2","4","1","3","6","50.00","42","4.76","4.44","87","67","52","24","1","6","16","8","8","0","0","8","12","10","44","53","17","185","177","51.10"
"733","Conor Timmins","COL","D","31","391.53333333333","0","6","1","5","6","35.29","31","0.00","1.09","69","45","18","3","0","5","6","3","3","0","0","2","4","6","17","39","17","0","0","-"
"744","Nico Hischier","N.J","C","21","280.08333333333","2","4","2","2","6","60.00","29","6.90","2.34","51","38","30","14","1","1","4","2","2","0","0","2","5","11","11","25","15","128","117","52.24"
"772","Ian Mitchell","CHI","D","39","550.41666666667","2","4","1","3","6","37.50","20","10.00","1.05","51","28","16","2","0","3","14","7","7","0","0","4","11","1","18","44","36","0","0","-"
"773","Lias Andersson","L.A","C","23","254.81666666667","3","3","3","0","6","50.00","23","13.04","3.03","36","31","25","18","1","5","12","6","6","0","0","7","5","3","8","24","7","19","30","38.78"
"782","Radim Simek","S.J","D","40","504.43333333333","2","4","1","3","6","35.29","23","8.70","1.15","47","33","15","3","2","1","13","5","4","1","0","7","12","3","71","65","39","0","0","-"
"783","Jan Rutta","T.B","D","35","492.06666666667","0","6","3","3","6","28.57","44","0.00","1.88","101","70","27","4","0","5","22","11","11","0","0","4","8","0","27","63","25","0","0","-"
"787","Jacob Bryson","BUF","D","38","609.3","1","5","1","4","6","24.00","23","4.35","1.07","61","40","13","1","1","1","10","5","5","0","0","4","16","2","32","50","35","0","0","-"
"866","Kirby Dach","CHI","C","17","223.93333333333","1","5","4","1","6","60.00","16","6.25","1.64","31","24","19","7","0","2","4","2","2","0","0","5","4","13","6","55","9","65","84","43.62"
"879","Shane Pinto","OTT","C","12","125.41666666667","1","5","1","4","6","75.00","8","12.50","1.74","26","18","15","6","1","0","10","5","5","0","0","2","3","5","10","22","8","36","51","41.38"
"881","Tobias Bjornfot","L.A","D","33","491.38333333333","1","5","2","3","6","42.86","30","3.33","1.12","54","42","13","0","1","6","14","7","7","0","0","2","11","5","24","57","25","0","0","-"
"884","Arttu Ruotsalainen","BUF","C","17","215.88333333333","5","1","1","0","6","66.67","25","20.00","2.03","41","31","23","10","2","3","8","4","4","0","0","3","5","4","16","13","4","3","6","33.33"
"3","Patrick Marleau","S.J","C","56","625.81666666667","2","3","1","2","5","29.41","47","4.26","5.33","80","68","57","33","5","7","4","2","2","0","0","2","7","22","37","34","18","126","144","46.67"
"35","Andrej Sekera","DAL","D","46","585.98333333333","3","2","1","1","5","17.86","28","10.71","1.18","69","39","12","3","0","7","4","2","2","0","0","0","16","5","44","49","38","0","0","-"
"46","Marc-Edouard Vlasic","S.J","D","51","743.76666666667","0","5","2","3","5","20.83","27","0.00","1.13","73","50","12","2","1","3","8","4","4","0","0","1","14","10","38","51","48","0","0","-"
"53","Ryan Reaves","VGK","R","37","362.33333333333","1","4","1","3","5","35.71","26","3.85","3.33","54","36","37","20","4","7","27","9","6","3","0","7","4","11","140","33","14","4","8","33.33"
"56","Andy Greene","NYI","D","55","844.23333333333","1","4","2","2","5","16.67","45","2.22","2","119","73","19","6","1","4","6","3","3","0","0","0","19","4","35","73","85","0","0","-"
"90","Kyle Turris","EDM","C","27","284.61666666667","2","3","3","0","5","62.50","20","10.00","1.98","44","30","24","10","3","2","10","5","5","0","0","2","7","5","15","15","6","78","83","48.45"
