pk,season,type,startDate,endDate,status,teamAwayID,teamHomeID
2021020067,20212022,R,2021-10-23T17:00:00Z,2021-10-23T19:34:48Z,Final,3,9
2021020068,20212022,R,2021-10-23T23:00:00Z,2021-10-24T02:12:57Z,Final,21,14
2021020069,20212022,R,2021-10-23T23:00:00Z,2021-10-24T01:39:52Z,Final,7,1
2021020070,20212022,R,2021-10-23T23:00:00Z,2021-10-24T01:39:14Z,Final,13,4
2021020071,20212022,R,2021-10-23T23:00:00Z,2021-10-24T01:44:21Z,Final,10,5
2021020072,20212022,R,2021-10-23T17:00:00Z,2021-10-23T19:39:39Z,Final,20,15
2021020073,20212022,R,2021-10-23T23:00:00Z,2021-10-24T01:30:52Z,Final,12,29
2021020074,20212022,R,2021-10-24T00:00:00Z,2021-10-24T02:42:53Z,Final,26,19
2021020075,20212022,R,2021-10-23T22:00:00Z,2021-10-24T00:54:49Z,Final,24,30
2021020076,20212022,R,2021-10-23T23:00:00Z,2021-10-24T01:50:18Z,Final,18,52
2021020077,20212022,R,2021-10-24T01:00:00Z,2021-10-24T04:34:58Z,Final,2,53
2021020078,20212022,R,2021-10-24T02:00:00Z,2021-10-24T04:48:18Z,Final,23,55
2021020079,20212022,R,2021-10-24T17:00:00Z,2021-10-24T19:44:04Z,Final,28,6
2021020080,20212022,R,2021-10-24T23:00:00Z,2021-10-25T01:44:08Z,Final,17,16
2021020081,20212022,R,2021-10-24T22:00:00Z,2021-10-25T00:46:29Z,Final,18,30
2021020082,20212022,R,2021-10-25T02:00:00Z,2021-10-25T04:33:03Z,Final,2,54
2021020083,20212022,R,2021-10-25T23:00:00Z,2021-10-26T01:33:39Z,Final,14,7
2021020084,20212022,R,2021-10-25T23:00:00Z,2021-10-26T01:52:58Z,Final,15,9
2021020085,20212022,R,2021-10-25T23:00:00Z,2021-10-26T01:37:34Z,Final,53,13
2021020086,20212022,R,2021-10-25T23:00:00Z,2021-10-26T01:33:49Z,Final,20,3
2021020087,20212022,R,2021-10-25T23:00:00Z,2021-10-26T01:36:31Z,Final,10,12
2021020088,20212022,R,2021-10-25T23:00:00Z,2021-10-26T01:32:44Z,Final,25,29
2021020089,20212022,R,2021-10-26T00:00:00Z,2021-10-26T02:35:12Z,Final,26,19
2021020090,20212022,R,2021-10-26T23:00:00Z,2021-10-27T01:41:32Z,Final,20,1
2021020091,20212022,R,2021-10-26T23:00:00Z,2021-10-27T01:36:51Z,Final,14,5
2021020092,20212022,R,2021-10-27T00:30:00Z,2021-10-27T03:03:00Z,Final,28,18
2021020093,20212022,R,2021-10-27T00:00:00Z,2021-10-27T02:40:58Z,Final,54,21
2021020094,20212022,R,2021-10-27T02:00:00Z,2021-10-27T04:47:37Z,Final,30,23
2021020095,20212022,R,2021-10-27T02:00:00Z,2021-10-27T04:32:30Z,Final,52,24
2021020096,20212022,R,2021-10-27T02:00:00Z,2021-10-27T04:28:45Z,Final,8,55
2021020097,20212022,R,2021-10-27T23:00:00Z,2021-10-28T01:40:57Z,Final,6,13
2021020098,20212022,R,2021-10-27T23:00:00Z,2021-10-28T01:34:18Z,Final,17,15
2021020099,20212022,R,2021-10-27T23:30:00Z,2021-10-28T02:12:47Z,Final,10,16
2021020100,20212022,R,2021-10-28T00:30:00Z,2021-10-28T03:09:14Z,Final,54,25
2021020101,20212022,R,2021-10-28T02:00:00Z,2021-10-28T04:39:33Z,Final,4,22
2021020102,20212022,R,2021-10-28T23:00:00Z,2021-10-29T01:43:41Z,Final,53,14
2021020103,20212022,R,2021-10-28T23:00:00Z,2021-10-29T01:32:51Z,Final,20,5
2021020104,20212022,R,2021-10-28T23:00:00Z,2021-10-29T01:39:16Z,Final,6,12
2021020105,20212022,R,2021-10-29T00:00:00Z,2021-10-29T02:51:10Z,Final,21,19
2021020106,20212022,R,2021-10-29T02:00:00Z,2021-10-29T04:27:47Z,Final,4,23
2021020107,20212022,R,2021-10-29T02:00:00Z,2021-10-29T04:33:57Z,Final,7,24
2021020108,20212022,R,2021-10-29T02:30:00Z,2021-10-29T04:55:02Z,Final,52,26
2021020109,20212022,R,2021-10-29T02:30:00Z,2021-10-29T05:01:50Z,Final,8,28
2021020110,20212022,R,2021-10-29T02:00:00Z,2021-10-29T04:37:17Z,Final,30,55
2021020111,20212022,R,2021-10-29T23:00:00Z,2021-10-30T01:33:58Z,Final,13,17
2021020112,20212022,R,2021-10-29T23:00:00Z,2021-10-30T02:45:52Z,Final,29,3
2021020113,20212022,R,2021-10-29T23:00:00Z,2021-10-30T01:28:05Z,Final,53,15
2021020114,20212022,R,2021-10-29T23:00:00Z,2021-10-30T01:38:45Z,Final,16,12
2021020115,20212022,R,2021-10-30T00:30:00Z,2021-10-30T03:09:00Z,Final,9,25
2021020116,20212022,R,2021-10-30T00:00:00Z,2021-10-30T02:55:58Z,Final,24,54
