id,name,link,venue,abbreviation,triCode,teamName,locationName,firstYearOfPlay,division,conference,franchise,shortName,officialSiteUrl,franchiseId,active
9,Ottawa Senators,/api/v1/teams/9,"{'id': 5031, 'name': 'Canadian Tire Centre', 'link': '/api/v1/venues/5031', 'city': 'Ottawa', 'timeZone': {'id': 'America/New_York', 'offset': -5, 'tz': 'EST'}}",OTT,OTT,Senators,Ottawa,1992,"{'id': 17, 'name': 'Atlantic', 'nameShort': 'ATL', 'link': '/api/v1/divisions/17', 'abbreviation': 'A'}","{'id': 6, 'name': 'Eastern', 'link': '/api/v1/conferences/6'}","{'franchiseId': 30, 'teamName': 'Senators', 'link': '/api/v1/franchises/30'}",Ottawa,http://www.ottawasenators.com/,30,True
10,Toronto Maple Leafs,/api/v1/teams/10,"{'name': 'Scotiabank Arena', 'link': '/api/v1/venues/null', 'city': 'Toronto', 'timeZone': {'id': 'America/Toronto', 'offset': -5, 'tz': 'EST'}}",TOR,TOR,Maple Leafs,Toronto,1926,"{'id': 17, 'name': 'Atlantic', 'nameShort': 'ATL', 'link': '/api/v1/divisions/17', 'abbreviation': 'A'}","{'id': 6, 'name': 'Eastern', 'link': '/api/v1/conferences/6'}","{'franchiseId': 5, 'teamName': 'Maple Leafs', 'link': '/api/v1/franchises/5'}",Toronto,http://www.mapleleafs.com/,5,True
15,Washington Capitals,/api/v1/teams/15,"{'id': 5094, 'name': 'Capital One Arena', 'link': '/api/v1/venues/5094', 'city': 'Washington', 'timeZone': {'id': 'America/New_York', 'offset': -5, 'tz': 'EST'}}",WSH,WSH,Capitals,Washington,1974,"{'id': 18, 'name': 'Metropolitan', 'nameShort': 'Metro', 'link': '/api/v1/divisions/18', 'abbreviation': 'M'}","{'id': 6, 'name': 'Eastern', 'link': '/api/v1/conferences/6'}","{'franchiseId': 24, 'teamName': 'Capitals', 'link': '/api/v1/franchises/24'}",Washington,http://www.washingtoncapitals.com/,24,True
19,St. Louis Blues,/api/v1/teams/19,"{'id': 5076, 'name': 'Enterprise Center', 'link': '/api/v1/venues/5076', 'city': 'St. Louis', 'timeZone': {'id': 'America/Chicago', 'offset': -6, 'tz': 'CST'}}",STL,STL,Blues,St. Louis,1967,"{'id': 16, 'name': 'Central', 'nameShort': 'CEN', 'link': '/api/v1/divisions/16', 'abbreviation': 'C'}","{'id': 5, 'name': 'Western', 'link': '/api/v1/conferences/5'}","{'franchiseId': 18, 'teamName': 'Blues', 'link': '/api/v1/franchises/18'}",St Louis,http://www.stlouisblues.com/,18,True
