,Player,Goals_18,ixG_18,Goals_19,ixG_19
556,Saku Maenalanen,4,3.68,,
557,Christoffer Ehn,2,3.53,2.0,3.17
558,Gustav Forsling,2,2.28,,
559,Oliver Kylington,3,1.3,1.0,1.34
560,Christian Wolanin,3,1.27,0.0,0.24
561,Trevor Moore,2,2.22,5.0,6.08
562,Radim Simek,1,1.36,1.0,1.84
563,Sean Walker,2,2.02,3.0,5.33
564,Bogdan Kiselevich,0,0.67,,
565,Antti Suomela,3,5.08,1.0,2.01
566,Jason Demers,2,1.07,0.0,1.88
567,Greg Pateryn,1,2.43,0.0,0.54
568,Phil Varone,3,2.97,,
569,Matt Irwin,1,1.27,0.0,2.41
570,Tom Kuhnhackl,4,2.65,3.0,2.36
571,Nick Seeler,2,1.94,0.0,0.32
572,Victor Rask,3,3.08,5.0,2.89
573,Sven Baertschi,6,3.68,0.0,1.05
574,Joe Morrow,1,1.46,,
575,J.T. Brown,2,4.19,,
576,Teddy Blueger,5,2.86,9.0,7.53
577,Joakim Ryan,0,1.26,1.0,1.72
578,Colby Cave,2,5.68,1.0,0.43
579,Michael Dal Colle,3,3.27,4.0,5.53
580,Dylan Sikura,0,3.28,1.0,0.81
581,Jakob Forsbacka Karlsson,2,2.36,,
582,Brandon Carlo,2,4.2,2.0,2.48
583,Markus Hannikainen,4,4.96,,
584,Troy Terry,2,2.73,3.0,5.75
585,Maxime Lajoie,3,2.7,0.0,0.07
586,Jesse Puljujarvi,4,3.82,,
587,Sam Steel,4,1.99,4.0,7.52
588,Max Comtois,2,0.89,3.0,3.11
589,Henri Jokiharju,0,2.05,3.0,2.24
590,Jan Rutta,2,1.24,1.0,1.94
591,Igor Ozhiganov,3,1.33,,
592,Egor Yakovlev,2,1.33,,
593,Dion Phaneuf,1,2.29,,
594,Corey Perry,4,4.69,4.0,7.9
595,Jack Johnson,0,2.55,1.0,1.88
596,Adam McQuaid,3,1.02,,
597,Niklas Hjalmarsson,0,1.9,1.0,0.58
598,Jamie McGinn,3,1.95,,
599,Michael Grabner,2,5.82,7.0,5.0
600,Andrew MacDonald,0,1.7,,
601,Carl Gunnarsson,3,1.3,2.0,1.0
602,Dmitry Kulikov,0,1.65,2.0,2.41
603,Gabriel Bourque,1,2.5,2.0,2.89
604,Erik Haula,2,3.21,8.0,7.45
605,Kevan Miller,0,0.99,,
606,Lukas Sedlak,4,4.3,,
607,Stefan Noesen,2,7.09,6.0,6.68
608,Slater Koekkoek,2,1.3,1.0,2.09
609,Jean-Sebastien Dea,4,2.57,0.0,0.01
610,Christian Folin,0,2.16,1.0,0.33
611,Robby Fabbri,2,3.66,9.0,7.4
612,Christian Dvorak,1,3.11,10.0,10.48
613,Christian Jaros,1,2.04,0.0,0.23
614,Matt Roy,2,1.3,2.0,3.26
615,Casey Nelson,1,1.15,,
616,Dennis Cholowski,3,2.72,0.0,1.33
617,Drake Batherson,1,1.05,2.0,2.28
618,Lawrence Pilut,1,1.09,0.0,0.28
619,Dan Hamhuis,0,1.61,0.0,1.54
620,Trevor Daley,1,2.34,0.0,1.41
621,Jonathan Ericsson,3,1.25,0.0,0.49
622,Ryan Kesler,4,6.72,,
623,Mark Borowiecki,1,2.74,5.0,1.82
624,Chris Wideman,1,0.94,,
625,Kevin Connauton,1,2.56,0.0,0.38
626,Martin Marincin,1,1.16,1.0,1.06
627,Michael Chaput,0,2.75,0.0,0.14
628,Brett Ritchie,3,4.43,2.0,3.05
629,Miikka Salomaki,1,4.3,1.0,0.18
630,Mackenzie MacEachern,3,3.07,7.0,5.83
631,Martin Frk,0,2.16,4.0,1.88
632,Paul LaDue,2,1.2,0.0,0.04
633,John Hayden,3,4.35,3.0,2.63
634,Ben Harpur,1,1.21,,
635,Ryan Graves,3,1.03,8.0,5.06
636,Carl Dahlstrom,0,1.13,0.0,0.38
637,Josh Currie,2,1.51,,
638,Caleb Jones,1,0.56,4.0,1.31
639,Noah Juulsen,1,0.57,,
640,Jacob Larsson,0,2.55,2.0,1.77
641,Dean Kukan,0,0.69,0.0,1.58
642,Joey Anderson,2,3.31,3.0,1.9
643,Dillon Dube,1,2.48,5.0,5.89
644,Alexandre Fortin,2,2.72,,
645,Lias Andersson,1,2.71,0.0,0.73
646,Sheldon Dries,2,3.49,0.0,0.14
647,Karson Kuhlman,3,0.89,0.0,3.62
648,Taro Hirose,1,0.86,2.0,1.57
649,Korbinian Holzer,1,0.8,1.0,1.78
650,Brandon Sutter,2,2.17,6.0,5.06
651,Michael Stone,0,0.43,2.0,1.53
652,Nicolas Deslauriers,1,3.97,7.0,5.51
653,Corban Knight,1,1.17,,
654,Brandon Manning,2,1.4,1.0,0.31
655,Connor Brickley,1,1.81,,
656,Fredrik Claesson,2,1.69,1.0,0.03
657,Andy Welinski,1,1.42,,
658,Alan Quine,2,0.83,1.0,1.03
659,Kurtis Gabriel,2,0.5,,
660,Phillip Di Giuseppe,1,2.49,1.0,2.18
661,Charles Hudon,3,3.96,1.0,1.34
662,Jaycob Megna,1,0.86,,
663,Peter Cehlarik,2,3.11,0.0,0.04
664,Steven Santini,1,1.77,0.0,0.01
665,Ross Johnston,1,1.52,3.0,2.59
666,Frederick Gaudreau,3,4.65,,
667,Julius Honka,0,1.55,,
668,Juho Lammikko,0,3.07,,
669,Sammy Blais,2,2.84,6.0,5.62
670,Jonas Siegenthaler,0,0.59,2.0,1.23
671,Andreas Martinsen,1,1.75,,
672,Sami Niku,1,1.03,0.0,0.78
673,Carl Grundstrom,4,3.54,0.0,1.8
674,Max Jones,2,5.9,7.0,8.67
675,Ilya Lyubushkin,0,1.44,0.0,1.64
676,Matt Hendricks,0,1.16,,
677,Patrik Berglund,1,2.39,,
678,Steven Kampfer,2,1.42,0.0,0.39
679,Thomas Hickey,0,1.58,,
680,Micheal Haley,1,4.07,1.0,1.05
681,Zac Rinaldo,1,0.81,3.0,1.77
682,Kevin Gravel,0,1.44,0.0,0.02
683,Anthony Bitetto,0,1.51,0.0,1.56
684,Ben Street,3,1.29,0.0,0.17
685,Scott Wilson,0,1.82,1.0,0.43
686,Xavier Ouellet,0,1.38,0.0,0.35
687,Brad Hunt,1,2.39,5.0,2.74
688,Brendan Gaunce,1,0.09,0.0,0.08
689,Gemel Smith,2,1.02,1.0,0.28
690,Jonny Brodzinski,2,1.62,0.0,0.53
691,Valentin Zykov,2,2.88,0.0,1.19
692,Nic Petan,1,0.91,0.0,1.97
693,Vladislav Kamenev,0,1.19,1.0,2.07
694,Clark Bishop,1,1.47,0.0,0.39
695,Anders Bjork,1,1.43,8.0,5.71
696,Denis Gurianov,1,1.69,12.0,9.79
697,Jordan Kyrou,1,1.06,4.0,2.99
698,Nathan Bastian,3,1.03,,
699,Michael McLeod,0,1.86,0.0,0.81
700,Alexander Nylander,1,0.96,,
701,Joseph Gambardella,0,0.68,,
702,Juuso Valimaki,1,0.94,,
703,Ryan Poehling,3,0.22,1.0,2.64
704,Oscar Fantenberg,2,2.32,1.0,1.09
705,Max Veronneau,1,0.99,0.0,0.19
706,Juuso Riikola,0,1.81,1.0,1.86
707,Andrej Sekera,0,0.78,1.0,1.86
708,Matt Hunwick,0,0.39,,
709,Chris Butler,1,0.38,,
710,Tom Pyatt,0,2.51,,
711,Luke Schenn,0,1.08,1.0,0.91
712,Jori Lehtera,1,1.21,,
713,Luke Witkowski,0,0.61,1.0,0.95
714,Dalton Prout,1,0.55,0.0,0.02
715,Jordan Nolan,0,0.86,,
716,Darren Archibald,1,0.6,,
717,Andrew Agozzino,1,0.59,1.0,0.52
718,Alex Petrovic,0,1.86,,
719,Tomas Hyka,1,1.69,,
720,Chad Ruhwedel,1,0.56,2.0,1.25
721,Tyler Lewington,1,0.09,0.0,0.02
722,Josh Brown,1,0.92,3.0,2.49
723,Nick Paul,1,2.8,9.0,7.83
724,Ian McCoshen,1,0.59,,
725,Joshua Ho-Sang,1,0.71,,
726,Victor Olofsson,0,1.11,6.0,6.65
727,Danick Martel,0,1.07,,
728,A.J. Greer,1,1.02,,
729,Mikhail Vorobyev,1,0.94,1.0,0.87
730,Philippe Myers,1,0.85,4.0,2.87
731,Josh Mahura,1,0.61,1.0,0.38
732,Gavin Bayreuther,1,1.11,,
733,Martin Necas,1,0.2,11.0,6.73
734,C.J. Smith,2,1.24,,
735,Adam Johnson,0,0.27,1.0,0.54
736,Isac Lundestrom,0,0.9,0.0,0.93
737,Tomas Plekanec,1,0.72,,
738,Cody McLeod,1,2.16,,
739,Martin Hanzal,0,0.46,,
740,Matt Beleskey,1,0.15,,
741,Erik Condra,1,0.48,,
742,Karl Alzner,0,0.15,0.0,0.03
743,Eric Tangradi,0,0.58,,
744,Luca Sbisa,0,0.16,2.0,1.62
745,Zac Dalpe,0,0.03,,
746,Matt Donovan,0,0.02,,
747,Mark Barberio,1,0.44,0.0,0.86
748,Matt Bartkowski,1,0.06,,
749,Brian Lashoff,0,0.03,0.0,0.16
750,Stefan Elliott,0,0.05,,
751,Wade Megan,0,1.14,,
752,Justin Dowling,0,1.14,3.0,2.21
753,Justin Holl,0,0.15,1.0,3.93
754,Sam Carrick,0,0.41,0.0,0.89
755,Brandon Davidson,0,0.35,0.0,0.77
756,Matt Read,1,0.91,,
757,Max McCormick,1,1.09,,
758,Blake Pietila,0,1.34,,
759,Kyle Rau,0,0.54,,
760,Cameron Schilling,0,0.04,,
761,Jordan Schmaltz,0,0.37,,
762,Dominic Toninato,1,0.26,4.0,5.18
763,Kurtis MacDermid,0,0.39,3.0,1.71
764,Ashton Sautner,0,0.64,0.0,0.0
765,Connor Clifton,0,0.49,2.0,0.97
766,Remi Elie,0,0.99,,
767,Dillon Heatherington,0,0.34,,
768,Justin Bailey,0,0.38,0.0,0.03
769,Nathan Walker,0,0.17,1.0,0.6
770,Daniel Carr,1,0.9,1.0,0.91
771,Haydn Fleury,0,0.72,4.0,2.59
772,Sonny Milano,1,0.47,6.0,4.91
773,Nikita Scherbak,1,1.08,,
774,John Quenneville,1,1.27,0.0,1.13
775,Michael Bunting,1,0.63,,
776,Rourke Chartier,1,1.42,,
777,Jacob Middleton,0,0.02,0.0,0.24
778,Brendan Guhle,0,0.8,4.0,1.53
779,Jeremy Lauzon,1,0.33,1.0,1.03
780,Filip Chlapik,1,0.87,3.0,2.22
781,Tanner Fritz,0,0.77,,
782,Kalle Kossila,1,0.55,,
783,Libor Hajek,1,0.3,0.0,0.75
784,Dante Fabbro,1,0.08,3.0,2.47
785,Ben Gleason,0,0.02,,
786,Jacob MacDonald,1,0.06,,
787,Zack MacEwen,0,0.35,5.0,1.89
788,Vinni Lettieri,0,3.46,,
789,Kailer Yamamoto,1,1.43,7.0,5.38
790,Jaret Anderson-Dolan,0,0.32,0.0,0.06
791,Kristian Vesalainen,0,0.01,,
792,Eeli Tolvanen,1,0.48,,
793,Alex Formenton,1,1.53,,
794,Alexandre Texier,1,0.63,5.0,3.69
795,Calle Rosen,1,0.11,0.0,0.41
796,Joel L'Esperance,1,2.28,1.0,0.2
797,Daniel Brickley,0,0.03,,
798,Quinn Hughes,0,0.12,4.0,2.75
799,Jimmy Schuldt,0,0.03,,
800,Derek MacKenzie,0,0.0,,
801,Chris Thorburn,0,0.0,,
802,Patrick Eaves,0,0.9,,
803,Lee Stempniak,0,0.0,,
804,Marc Methot,0,0.11,,
805,Adam Cracknell,0,0.21,,
806,Stephen Gionta,0,0.5,,
807,Eric Gryba,0,0.3,,
808,David Schlemko,0,0.57,,
809,Mark Letestu,0,0.02,0.0,0.42
810,Justin Falk,0,0.22,,
811,Paul Carey,0,0.28,0.0,0.0
812,Anthony Peluso,0,0.02,,
813,Brad Malone,0,0.95,,
814,Jason Garrison,0,0.36,,
815,Cody Goloubef,0,0.1,1.0,0.63
816,Cameron Gaunce,0,0.12,1.0,0.21
817,Nate Prosser,0,0.2,,
818,Mark Alt,0,0.05,,
819,Dylan McIlrath,0,0.06,0.0,0.47
820,Zach Trotman,0,0.36,0.0,0.2
821,Erik Burgdoerfer,0,0.04,,
822,Cory Conacher,0,0.02,0.0,0.53
823,Colin Blackwell,0,0.67,3.0,2.48
824,Steven Fogarty,0,0.4,0.0,0.16
825,Reid Boucher,0,0.0,,
826,Adam Clendening,0,0.07,,
827,Ryan Murphy,0,0.02,,
828,Matt Puempel,0,0.87,,
829,Matt Tennyson,0,0.07,0.0,0.63
830,Trevor Carrick,0,0.01,0.0,0.03
831,Kevin Roy,0,0.27,,
832,Danny O'Regan,0,0.31,,
833,Jake Dotchin,0,0.33,,
834,Joseph Blandisi,0,0.78,2.0,1.08
835,Andrej Sustr,0,0.1,,
836,Anton Blidh,0,0.0,0.0,0.42
837,John Gilmour,0,0.27,0.0,0.3
838,Luke Johnson,0,1.35,0.0,0.03
839,Tyrell Goulbourne,0,0.15,,
840,Marko Dano,0,0.29,0.0,0.17
841,Laurent Dauphin,0,0.51,,
842,Samuel Morin,0,0.1,0.0,0.0
843,Curtis Lazar,0,0.0,3.0,3.65
844,Kerby Rychel,0,0.01,,
845,Dakota Mermis,0,0.0,1.0,0.39
846,Joel Hanley,0,0.46,0.0,0.08
847,Jake Chelios,0,0.14,,
848,Andreas Englund,0,0.01,0.0,0.3
849,Josh Jacobs,0,0.02,0.0,0.12
850,Nicolas Aube-Kubel,0,0.11,5.0,4.39
851,Dominic Turgeon,0,0.07,,
852,Louie Belpedio,0,0.0,,
853,Mark Friedman,0,0.01,0.0,0.03
854,Chase De Leo,0,0.25,0.0,0.11
855,Nelson Nogier,0,0.02,,
856,Anton Lindholm,0,0.03,0.0,0.02
857,Joe Hicketts,0,0.55,0.0,0.09
858,Jack Rodewald,0,0.44,,
859,Nikita Soshnikov,0,0.11,,
860,Anthony Richard,0,0.0,0.0,0.09
861,Jakub Zboril,0,0.07,,
862,Cooper Marody,0,0.53,,
863,Nicolas Roy,0,0.12,4.0,4.31
864,Guillaume Brisebois,0,0.17,,
865,Kyle Capobianco,0,0.02,1.0,0.28
866,Zach Senyshyn,0,0.49,0.0,0.14
867,Dennis Gilbert,0,0.0,1.0,0.28
868,Gabriel Carlsson,0,0.01,0.0,0.07
869,Kevin Stenlund,0,0.18,3.0,3.69
870,William Borgen,0,0.04,,
871,Colton White,0,0.01,0.0,0.07
872,Kole Sherwood,0,0.09,0.0,0.49
873,Ryan Lomberg,0,0.15,,
874,Nick Lappin,0,0.6,,
875,Ryan Lindgren,0,0.37,1.0,1.48
876,Brandon Gignac,0,0.02,,
877,Timothy Gettinger,0,0.18,,
878,Trent Frederic,0,1.6,0.0,0.01
879,Logan Brown,0,0.27,0.0,1.84
880,Riley Stillman,0,0.01,0.0,1.81
881,Jake Bean,0,0.02,,
882,Vitaly Abramov,0,0.21,1.0,0.14
883,Anthony Greco,0,0.1,,
884,Patrick Russell,0,0.81,0.0,5.82
885,Janne Kuokkanen,0,0.36,0.0,0.0
886,Rem Pitlick,0,0.0,,
887,Maxim Mamin,0,0.64,,
888,Dylan Gambrell,0,0.39,5.0,4.73
889,Urho Vaakanainen,0,0.02,0.0,0.08
890,Erik Brannstrom,0,0.07,0.0,1.08
891,Justin Kloos,0,0.17,,
892,Jakub Jerabek,0,0.02,,
893,Libor Sulak,0,0.38,,
894,Eric Robinson,0,1.82,7.0,5.93
895,Sheldon Rempal,0,0.24,,
896,Evan Bouchard,0,0.36,,
897,Filip Zadina,0,0.61,4.0,3.51
898,Jacob Nilsson,0,0.0,,
899,Logan O'Connor,0,0.06,2.0,1.64
900,Josh Teves,0,0.0,,
901,Ryan Kuffner,0,0.76,,
902,Brady Keeper,0,0.06,,
903,Nico Sturm,0,0.51,0.0,0.15
904,Brogan Rafferty,0,0.05,,
905,Blake Lizotte,0,0.12,2.0,6.78
