,player1Id,player2Id,count
0,8479337,8474141,22
1,8479314,8476346,20
2,8478864,8475692,18
3,8476346,8479314,17
4,8477493,8476456,15
5,8477496,8476346,15
6,8471214,8475744,15
7,8479420,8475784,14
8,8477956,8475791,14
9,8477934,8478402,13
10,8475184,8476459,13
11,8475168,8476887,13
12,8475184,8479323,13
13,8475168,8475798,12
14,8478449,8470794,12
15,8479318,8478483,12
16,8480027,8478449,12
17,8478427,8476882,12
18,8478420,8477492,12
19,8479318,8478047,11
20,8480064,8480208,11
21,8477404,8471675,11
22,8477496,8479314,11
23,8477451,8478864,11
24,8477960,8471685,11
25,8474564,8476453,11
26,8478440,8474141,10
27,8479314,8477496,10
28,8475784,8479420,10
29,8477407,8476456,10
30,8478398,8479400,10
31,8475692,8478864,10
32,8478449,8480027,10
33,8476453,8475167,10
34,8476882,8478427,10
35,8482078,8477946,10
36,8476455,8478420,10
37,8476887,8475168,9
38,8476458,8478550,9
39,8479343,8477951,9
40,8475166,8478483,9
41,8475786,8478402,9
42,8471675,8477404,9
43,8480027,8475906,9
44,8478444,8476468,9
45,8477500,8476468,9
46,8476346,8477496,9
47,8477492,8480069,9
48,8476887,8474600,9
49,8477951,8479343,9
50,8477946,8482078,9
51,8480064,8480801,9
52,8478398,8471218,8
53,8471214,8474590,8
54,8475169,8478402,8
55,8476459,8478550,8
56,8477939,8475166,8
57,8475168,8474600,8
58,8470638,8477956,8
59,8473986,8474564,8
60,8475810,8471675,8
61,8480069,8475172,8
62,8474564,8475167,8
63,8476887,8475798,8
64,8476881,8478414,8
65,8471215,8475810,8
66,8477934,8476454,8
67,8477451,8475692,8
68,8476479,8478042,8
69,8478483,8479318,8
70,8476479,8479675,8
71,8475765,8480023,8
72,8475754,8478463,8
73,8478414,8476881,8
74,8479400,8478398,8
75,8478010,8476453,8
76,8477933,8476456,8
77,8480027,8470794,8
78,8478864,8477451,8
79,8480012,8480800,8
80,8478873,8470612,8
81,8478444,8480012,8
82,8475765,8477402,8
83,8475744,8471214,8
84,8475166,8477939,8
85,8478402,8477934,7
86,8470794,8478449,7
87,8475791,8477956,7
88,8470794,8480027,7
89,8477404,8475810,7
90,8477942,8481557,7
91,8479318,8477939,7
92,8478047,8479318,7
93,8475793,8476887,7
94,8474715,8480797,7
95,8476881,8482222,7
96,8477935,8477407,7
97,8479318,8476853,7
98,8477404,8471724,7
99,8477402,8480023,7
100,8473419,8477956,7
101,8480801,8482116,7
102,8470638,8473419,7
103,8478233,8474150,7
104,8480069,8477492,7
105,8476468,8480800,7
106,8476389,8480830,6
107,8474590,8475744,6
108,8478042,8479675,6
109,8476539,8475191,6
110,8477402,8479385,6
111,8474102,8475170,6
112,8478542,8471724,6
113,8477341,8482110,6
114,8471675,8475810,6
115,8478427,8480830,6
116,8481559,8481068,6
117,8475184,8478550,6
118,8477919,8477942,6
119,8475172,8478420,6
120,8478047,8478483,6
121,8477940,8476460,6
122,8477492,8478420,6
123,8477496,8478397,6
124,8476432,8474161,6
125,8476432,8474679,6
126,8480012,8478856,6
127,8475170,8477964,6
128,8479420,8477949,6
129,8480208,8480801,6
130,8477492,8477444,6
