,pk,season,type,startDate,endDate,status,teamAwayID,teamHomeID
106,2021020107,20212022,R,2021-10-29T02:00:00Z,2021-10-29T04:33:57Z,Final,7,24
107,2021020108,20212022,R,2021-10-29T02:30:00Z,2021-10-29T04:55:02Z,Final,52,26
108,2021020109,20212022,R,2021-10-29T02:30:00Z,2021-10-29T05:01:50Z,Final,8,28
109,2021020110,20212022,R,2021-10-29T02:00:00Z,2021-10-29T04:37:17Z,Final,30,55
110,2021020111,20212022,R,2021-10-29T23:00:00Z,2021-10-30T01:33:58Z,Final,13,17
111,2021020112,20212022,R,2021-10-29T23:00:00Z,2021-10-30T02:45:52Z,Final,29,3
112,2021020113,20212022,R,2021-10-29T23:00:00Z,2021-10-30T01:28:05Z,Final,53,15
113,2021020114,20212022,R,2021-10-29T23:00:00Z,2021-10-30T01:38:45Z,Final,16,12
114,2021020115,20212022,R,2021-10-30T00:30:00Z,2021-10-30T03:09:00Z,Final,9,25
115,2021020116,20212022,R,2021-10-30T00:00:00Z,2021-10-30T02:55:58Z,Final,24,54
116,2021020117,20212022,R,2021-10-30T23:00:00Z,2021-10-31T01:47:27Z,Final,13,6
117,2021020118,20212022,R,2021-10-30T23:00:00Z,2021-10-31T01:39:12Z,Final,17,10
118,2021020119,20212022,R,2021-10-30T23:00:00Z,2021-10-31T01:40:49Z,Final,1,5
119,2021020120,20212022,R,2021-10-31T00:00:00Z,2021-10-31T02:32:30Z,Final,16,19
120,2021020121,20212022,R,2021-10-30T17:30:00Z,2021-10-30T20:21:53Z,Final,2,18
121,2021020122,20212022,R,2021-10-31T01:00:00Z,2021-10-31T03:41:39Z,Final,30,21
122,2021020123,20212022,R,2021-10-31T02:00:00Z,2021-10-31T04:42:33Z,Final,4,20
123,2021020124,20212022,R,2021-10-31T02:00:00Z,2021-10-31T04:32:37Z,Final,22,23
124,2021020125,20212022,R,2021-10-30T20:00:00Z,2021-10-30T22:36:22Z,Final,8,26
125,2021020126,20212022,R,2021-10-30T23:00:00Z,2021-10-31T01:52:40Z,Final,52,28
126,2021020127,20212022,R,2021-10-31T21:00:00Z,2021-10-31T23:45:08Z,Final,29,1
127,2021020128,20212022,R,2021-10-31T17:00:00Z,2021-10-31T19:36:11Z,Final,53,12
128,2021020129,20212022,R,2021-10-31T20:00:00Z,2021-10-31T22:32:30Z,Final,8,24
129,2021020130,20212022,R,2021-10-31T20:00:00Z,2021-10-31T22:29:22Z,Final,7,26
130,2021020131,20212022,R,2021-11-01T01:00:00Z,2021-11-01T03:35:06Z,Final,3,55
131,2021020132,20212022,R,2021-11-01T23:00:00Z,2021-11-02T01:38:12Z,Final,15,14
132,2021020133,20212022,R,2021-11-02T00:00:00Z,2021-11-02T02:28:58Z,Final,9,16
133,2021020134,20212022,R,2021-11-02T01:30:00Z,2021-11-02T03:57:45Z,Final,55,22
134,2021020135,20212022,R,2021-11-02T23:00:00Z,2021-11-03T01:29:24Z,Final,54,10
135,2021020136,20212022,R,2021-11-02T23:00:00Z,2021-11-03T01:35:00Z,Final,17,8
136,2021020137,20212022,R,2021-11-02T23:00:00Z,2021-11-03T01:32:16Z,Final,53,4
137,2021020138,20212022,R,2021-11-03T00:00:00Z,2021-11-03T02:51:57Z,Final,9,30
138,2021020139,20212022,R,2021-11-03T00:00:00Z,2021-11-03T02:56:12Z,Final,25,52
139,2021020140,20212022,R,2021-11-03T01:00:00Z,2021-11-03T03:37:25Z,Final,18,20
140,2021020141,20212022,R,2021-11-03T02:00:00Z,2021-11-03T04:30:33Z,Final,3,23
141,2021020142,20212022,R,2021-11-03T02:00:00Z,2021-11-03T04:33:01Z,Final,1,24
142,2021020143,20212022,R,2021-11-03T02:30:00Z,2021-11-03T05:00:45Z,Final,7,28
143,2021020144,20212022,R,2021-11-04T00:30:00Z,2021-11-04T03:03:24Z,Final,12,16
144,2021020145,20212022,R,2021-11-04T01:00:00Z,2021-11-04T03:38:12Z,Final,29,21
145,2021020146,20212022,R,2021-11-04T00:30:00Z,2021-11-04T03:10:47Z,Final,18,22
146,2021020147,20212022,R,2021-11-04T02:00:00Z,2021-11-04T04:58:42Z,Final,19,26
147,2021020148,20212022,R,2021-11-04T23:00:00Z,2021-11-05T01:41:46Z,Final,17,6
148,2021020149,20212022,R,2021-11-04T23:00:00Z,2021-11-05T01:41:58Z,Final,14,10
149,2021020150,20212022,R,2021-11-04T23:00:00Z,2021-11-05T01:38:11Z,Final,2,8
150,2021020151,20212022,R,2021-11-04T23:00:00Z,2021-11-05T01:31:03Z,Final,54,9
151,2021020152,20212022,R,2021-11-04T23:00:00Z,2021-11-05T01:44:28Z,Final,15,13
152,2021020153,20212022,R,2021-11-04T23:00:00Z,2021-11-05T01:48:22Z,Final,4,5
153,2021020154,20212022,R,2021-11-05T01:00:00Z,2021-11-05T03:46:37Z,Final,25,20
154,2021020155,20212022,R,2021-11-05T02:30:00Z,2021-11-05T05:03:56Z,Final,19,28
155,2021020156,20212022,R,2021-11-05T02:00:00Z,2021-11-05T04:38:50Z,Final,7,55
156,2021020157,20212022,R,2021-11-06T00:00:00Z,2021-11-06T02:30:09Z,Final,16,52
157,2021020158,20212022,R,2021-11-06T01:30:00Z,2021-11-06T04:08:53Z,Final,3,22
158,2021020159,20212022,R,2021-11-06T02:00:00Z,2021-11-06T04:35:47Z,Final,18,23
159,2021020160,20212022,R,2021-11-06T02:00:00Z,2021-11-06T04:35:20Z,Final,53,24
160,2021020161,20212022,R,2021-11-06T02:30:00Z,2021-11-06T05:05:53Z,Final,1,26
161,2021020162,20212022,R,2021-11-06T23:00:00Z,2021-11-07T02:35:08Z,Final,17,7
162,2021020163,20212022,R,2021-11-06T23:00:00Z,2021-11-07T03:08:46Z,Final,6,10
163,2021020164,20212022,R,2021-11-06T23:00:00Z,2021-11-07T02:48:03Z,Final,54,8
164,2021020165,20212022,R,2021-11-06T18:00:00Z,2021-11-06T20:41:56Z,Final,14,9
165,2021020166,20212022,R,2021-11-06T22:00:00Z,2021-11-07T00:42:18Z,Final,12,13
166,2021020167,20212022,R,2021-11-06T23:00:00Z,2021-11-07T02:56:24Z,Final,30,5
167,2021020168,20212022,R,2021-11-06T23:00:00Z,2021-11-07T02:31:35Z,Final,4,15
168,2021020169,20212022,R,2021-11-06T23:00:00Z,2021-11-07T02:31:55Z,Final,21,29
169,2021020170,20212022,R,2021-11-06T23:00:00Z,2021-11-07T01:38:16Z,Final,2,52
170,2021020171,20212022,R,2021-11-07T02:00:00Z,2021-11-07T05:35:22Z,Final,3,20
171,2021020172,20212022,R,2021-11-07T02:00:00Z,2021-11-07T05:35:16Z,Final,55,53
172,2021020173,20212022,R,2021-11-07T02:30:00Z,2021-11-07T05:14:54Z,Final,1,28
173,2021020174,20212022,R,2021-11-07T23:00:00Z,2021-11-08T01:33:04Z,Final,54,17
174,2021020175,20212022,R,2021-11-08T00:00:00Z,2021-11-08T02:33:01Z,Final,18,16
175,2021020176,20212022,R,2021-11-08T01:00:00Z,2021-11-08T04:26:05Z,Final,2,30
176,2021020177,20212022,R,2021-11-08T03:00:00Z,2021-11-08T05:37:59Z,Final,25,23
177,2021020178,20212022,R,2021-11-08T01:00:00Z,2021-11-08T04:03:25Z,Final,19,24
178,2021020179,20212022,R,2021-11-09T00:30:00Z,2021-11-09T03:29:29Z,Final,26,10
179,2021020180,20212022,R,2021-11-09T00:00:00Z,2021-11-09T02:41:00Z,Final,13,3
180,2021020181,20212022,R,2021-11-09T00:00:00Z,2021-11-09T02:34:09Z,Final,7,15
181,2021020182,20212022,R,2021-11-10T00:00:00Z,2021-11-10T02:47:35Z,Final,9,6
182,2021020183,20212022,R,2021-11-10T00:00:00Z,2021-11-10T02:49:38Z,Final,26,8
183,2021020184,20212022,R,2021-11-10T00:30:00Z,2021-11-10T03:04:40Z,Final,22,17
184,2021020185,20212022,R,2021-11-10T00:00:00Z,2021-11-10T02:52:07Z,Final,12,14
185,2021020186,20212022,R,2021-11-10T00:00:00Z,2021-11-10T02:33:14Z,Final,13,1
186,2021020187,20212022,R,2021-11-10T01:30:00Z,2021-11-10T04:21:11Z,Final,5,16
187,2021020188,20212022,R,2021-11-10T01:00:00Z,2021-11-10T03:44:17Z,Final,19,52
188,2021020189,20212022,R,2021-11-10T02:00:00Z,2021-11-10T04:45:59Z,Final,28,20
189,2021020190,20212022,R,2021-11-10T03:00:00Z,2021-11-10T05:36:40Z,Final,24,23
190,2021020191,20212022,R,2021-11-10T03:00:00Z,2021-11-10T05:31:33Z,Final,55,54
191,2021020192,20212022,R,2021-11-11T00:30:00Z,2021-11-11T03:15:44Z,Final,10,4
192,2021020193,20212022,R,2021-11-11T01:30:00Z,2021-11-11T04:02:36Z,Final,18,25
