,pk,season,type,startDate,endDate,status,teamAwayID,teamHomeID
193,2021020194,20212022,R,2021-11-11T03:00:00Z,2021-11-11T05:40:20Z,Final,30,53
194,2021020195,20212022,R,2021-11-12T00:00:00Z,2021-11-12T02:38:44Z,Final,22,6
195,2021020196,20212022,R,2021-11-12T00:00:00Z,2021-11-12T02:38:41Z,Final,20,8
196,2021020197,20212022,R,2021-11-12T00:00:00Z,2021-11-12T02:35:06Z,Final,26,9
197,2021020198,20212022,R,2021-11-12T00:30:00Z,2021-11-12T03:03:49Z,Final,15,17
198,2021020199,20212022,R,2021-11-12T00:00:00Z,2021-11-12T02:32:54Z,Final,2,1
199,2021020200,20212022,R,2021-11-12T00:00:00Z,2021-11-12T02:50:40Z,Final,13,5
200,2021020201,20212022,R,2021-11-12T01:00:00Z,2021-11-12T03:45:39Z,Final,18,19
201,2021020202,20212022,R,2021-11-12T01:00:00Z,2021-11-12T03:34:05Z,Final,28,52
202,2021020203,20212022,R,2021-11-12T02:00:00Z,2021-11-12T04:31:18Z,Final,23,21
203,2021020204,20212022,R,2021-11-12T03:00:00Z,2021-11-12T05:34:33Z,Final,30,54
204,2021020205,20212022,R,2021-11-12T03:00:00Z,2021-11-12T05:35:32Z,Final,24,55
205,2021020206,20212022,R,2021-11-13T00:00:00Z,2021-11-13T02:39:31Z,Final,22,7
206,2021020207,20212022,R,2021-11-13T00:00:00Z,2021-11-13T02:46:01Z,Final,20,10
207,2021020208,20212022,R,2021-11-13T00:00:00Z,2021-11-13T02:44:21Z,Final,4,12
208,2021020209,20212022,R,2021-11-13T00:00:00Z,2021-11-13T02:32:59Z,Final,15,29
209,2021020210,20212022,R,2021-11-13T01:30:00Z,2021-11-13T04:07:29Z,Final,53,16
210,2021020211,20212022,R,2021-11-14T00:00:00Z,2021-11-14T02:37:17Z,Final,10,7
211,2021020212,20212022,R,2021-11-14T00:00:00Z,2021-11-14T02:40:37Z,Final,5,9
212,2021020213,20212022,R,2021-11-14T00:00:00Z,2021-11-14T02:56:38Z,Final,8,17
213,2021020214,20212022,R,2021-11-14T00:00:00Z,2021-11-14T02:48:47Z,Final,13,14
214,2021020215,20212022,R,2021-11-13T18:00:00Z,2021-11-13T20:40:06Z,Final,6,1
215,2021020216,20212022,R,2021-11-14T00:30:00Z,2021-11-14T03:00:18Z,Final,19,12
216,2021020217,20212022,R,2021-11-14T00:00:00Z,2021-11-14T02:37:39Z,Final,3,29
217,2021020218,20212022,R,2021-11-14T01:00:00Z,2021-11-14T03:37:31Z,Final,53,18
218,2021020219,20212022,R,2021-11-14T01:00:00Z,2021-11-14T03:41:17Z,Final,4,25
219,2021020220,20212022,R,2021-11-14T00:00:00Z,2021-11-14T02:39:17Z,Final,26,52
220,2021020221,20212022,R,2021-11-14T02:00:00Z,2021-11-14T04:37:22Z,Final,28,21
221,2021020222,20212022,R,2021-11-14T03:00:00Z,2021-11-14T05:47:21Z,Final,23,54
222,2021020223,20212022,R,2021-11-14T03:00:00Z,2021-11-14T05:34:36Z,Final,30,55
223,2021020224,20212022,R,2021-11-15T00:00:00Z,2021-11-15T02:40:13Z,Final,8,6
224,2021020225,20212022,R,2021-11-14T22:00:00Z,2021-11-15T00:37:50Z,Final,20,9
225,2021020226,20212022,R,2021-11-15T00:00:00Z,2021-11-15T03:02:30Z,Final,1,3
226,2021020227,20212022,R,2021-11-15T00:00:00Z,2021-11-15T02:30:13Z,Final,5,15
227,2021020228,20212022,R,2021-11-15T00:00:00Z,2021-11-15T02:40:40Z,Final,22,19
228,2021020229,20212022,R,2021-11-15T01:00:00Z,2021-11-15T03:29:59Z,Final,23,24
229,2021020230,20212022,R,2021-11-16T00:00:00Z,2021-11-16T02:43:32Z,Final,2,14
230,2021020231,20212022,R,2021-11-16T00:00:00Z,2021-11-16T02:31:47Z,Final,17,29
231,2021020232,20212022,R,2021-11-17T00:00:00Z,2021-11-17T02:49:54Z,Final,18,10
232,2021020233,20212022,R,2021-11-17T00:00:00Z,2021-11-17T02:31:15Z,Final,2,13
233,2021020234,20212022,R,2021-12-07T00:00:00Z,2021-12-07T02:46:03Z,Final,9,1
234,2021020235,20212022,R,2021-11-17T00:00:00Z,2021-11-17T02:37:54Z,Final,8,3
235,2021020236,20212022,R,2021-11-17T00:00:00Z,2021-11-17T03:26:09Z,Final,20,4
236,2021020237,20212022,R,2021-11-17T00:00:00Z,2021-11-17T02:40:42Z,Final,7,5
237,2021020238,20212022,R,2021-11-17T01:00:00Z,2021-11-17T03:34:47Z,Final,53,19
238,2021020239,20212022,R,2021-11-17T01:30:00Z,2021-11-17T04:02:18Z,Final,17,25
239,2021020240,20212022,R,2021-11-17T01:00:00Z,2021-11-17T03:31:21Z,Final,28,30
240,2021020241,20212022,R,2021-11-17T01:00:00Z,2021-11-17T03:36:40Z,Final,22,52
241,2021020242,20212022,R,2021-11-17T03:00:00Z,2021-11-17T05:42:30Z,Final,12,54
242,2021020243,20212022,R,2021-11-17T03:00:00Z,2021-11-17T05:47:36Z,Final,15,24
243,2021020244,20212022,R,2021-11-18T02:00:00Z,2021-11-18T04:46:32Z,Final,21,23
244,2021020245,20212022,R,2021-11-18T03:30:00Z,2021-11-18T06:10:32Z,Final,15,26
245,2021020246,20212022,R,2021-11-18T03:00:00Z,2021-11-18T05:39:28Z,Final,16,55
246,2021020247,20212022,R,2021-11-19T00:00:00Z,2021-11-19T02:31:33Z,Final,20,7
247,2021020248,20212022,R,2021-11-19T00:00:00Z,2021-11-19T02:28:15Z,Final,3,10
248,2021020249,20212022,R,2021-11-19T00:00:00Z,2021-11-19T02:23:19Z,Final,5,8
249,2021020250,20212022,R,2022-04-07T23:00:00Z,2022-04-08T01:50:31Z,Final,18,9
250,2021020251,20212022,R,2021-11-19T00:00:00Z,2021-11-19T02:32:24Z,Final,1,13
251,2021020252,20212022,R,2021-11-19T00:00:00Z,2021-11-19T02:47:15Z,Final,14,4
252,2021020253,20212022,R,2021-11-19T01:00:00Z,2021-11-19T03:35:51Z,Final,28,19
253,2021020254,20212022,R,2021-11-19T01:00:00Z,2021-11-19T03:40:59Z,Final,25,30
254,2021020255,20212022,R,2021-11-19T02:00:00Z,2021-11-19T04:51:12Z,Final,52,22
255,2021020256,20212022,R,2021-11-19T02:00:00Z,2021-11-19T04:48:07Z,Final,29,53
256,2021020257,20212022,R,2021-11-19T03:00:00Z,2021-11-19T05:28:39Z,Final,17,54
257,2021020258,20212022,R,2021-11-19T03:00:00Z,2021-11-19T05:37:24Z,Final,12,24
258,2021020259,20212022,R,2021-11-20T03:00:00Z,2021-11-20T05:32:16Z,Final,52,23
259,2021020260,20212022,R,2021-11-20T03:00:00Z,2021-11-20T05:41:09Z,Final,21,55
260,2021020261,20212022,R,2021-11-21T00:00:00Z,2021-11-21T02:33:37Z,Final,5,10
261,2021020262,20212022,R,2021-11-21T00:00:00Z,2021-11-21T03:00:47Z,Final,18,8
262,2021020263,20212022,R,2022-02-20T22:00:00Z,2022-02-21T00:27:21Z,Final,3,9
263,2021020264,20212022,R,2021-11-20T21:00:00Z,2021-11-20T23:47:43Z,Final,1,14
264,2021020265,20212022,R,2021-11-20T23:00:00Z,2021-11-21T02:06:46Z,Final,30,13
265,2021020266,20212022,R,2021-11-21T00:00:00Z,2021-11-21T02:42:47Z,Final,20,2
266,2021020267,20212022,R,2021-11-21T00:00:00Z,2021-11-21T02:41:28Z,Final,6,4
267,2021020268,20212022,R,2021-11-21T01:00:00Z,2021-11-21T03:42:39Z,Final,19,25
268,2021020269,20212022,R,2021-11-21T03:00:00Z,2021-11-21T05:33:49Z,Final,16,22
269,2021020270,20212022,R,2021-11-21T01:00:00Z,2021-11-21T03:37:30Z,Final,17,53
270,2021020271,20212022,R,2021-11-21T03:00:00Z,2021-11-21T05:44:47Z,Final,29,54
271,2021020272,20212022,R,2021-11-20T21:00:00Z,2021-11-20T23:30:04Z,Final,12,26
272,2021020273,20212022,R,2021-11-21T03:30:00Z,2021-11-21T06:07:10Z,Final,15,28
273,2021020274,20212022,R,2021-11-22T00:00:00Z,2021-11-22T02:52:43Z,Final,20,6
274,2021020275,20212022,R,2021-11-21T22:00:00Z,2021-11-22T01:10:05Z,Final,30,14
275,2021020276,20212022,R,2021-11-22T00:30:00Z,2021-11-22T02:57:41Z,Final,10,2
276,2021020277,20212022,R,2021-11-21T23:00:00Z,2021-11-22T01:34:12Z,Final,7,3
277,2021020278,20212022,R,2021-11-22T01:00:00Z,2021-11-22T03:29:43Z,Final,16,23
